H,PC1,PC2,PC3
0.066,294.7466404327195,296.69091386878705,296.3928664684484
0.1,295.37873516806667,297.30315519601874,296.99624565723985
0.2,294.51463328607474,296.44293445639914,296.15272413216366
0.3,293.5998930271379,295.53423114045717,295.2634510366561
0.4,292.74566474929827,294.67326923603787,294.4423854947319
0.5,291.78987433356366,293.6949054835953,293.51743374465343
0.6,291.7477037907799,293.6355535226644,293.53177673690294
0.7000000000000001,291.75632894855795,293.62271071032416,293.5915467514327
0.8,291.4085088285416,293.24684066231725,293.2814642559714
0.9,290.99698262325757,292.80861710389195,292.8931394882024
1.0,290.40066285213334,292.1824149638898,292.30579330944477
1.1,289.96820806230915,291.69061535655425,291.86033158466455
1.2000000000000002,289.49054024858043,291.1319415222232,291.3346260474529
1.3000000000000005,289.10316801495844,290.6531194792714,290.8735590342166
1.4,288.6517729710153,290.11149113575595,290.3316024656296
1.5000000000000002,288.39504294941503,289.7710117969519,289.9904882895518
1.6,287.865362364995,289.1707551388488,289.371446975622
1.7000000000000002,287.27492226046115,288.52951360959327,288.69138207897475
1.8000000000000005,286.709765721042,287.92232832373105,288.0472090067124
1.9,285.9089569310815,287.08852742132865,287.1732534609143
2.0,285.5843016879968,286.73452288088066,286.79255275234175
