H,PC1,PC2,PC3
0.066,298.3533595672804,296.40908613121286,296.7071335315515
0.1,298.9212648319333,296.9968448039812,297.3037543427601
0.2,298.0687000472585,296.1403988769341,296.4306092011696
0.3,297.1601069728621,295.2257688595428,295.4965489633439
0.4,296.2943352507017,294.3667307639621,294.59761450526804
0.5,295.31012566643625,293.40509451640463,293.5825662553465
0.6,295.2613871183109,293.3735373864264,293.47731417218785
0.7000000000000001,295.26367105144203,293.3972892896758,293.4284532485673
0.8,294.91149117145847,293.0731593376828,293.03853574402865
0.9,294.50301737674243,292.69138289610805,292.6068605117976
1.0,293.8993371478666,292.11758503611014,291.9942066905552
1.1,293.42270102859993,291.70029373435483,291.5305775062445
1.2000000000000002,292.87612641808624,291.2347251444435,291.0320406192138
1.3000000000000005,292.39683198504156,290.8468805207286,290.6264409657834
1.4,291.8482270289847,290.38850886424405,290.1683975343704
1.5000000000000002,291.50495705058495,290.1289882030481,289.90951171044816
1.6,290.894637635005,289.5892448611512,289.388553024378
1.7000000000000002,290.22507773953885,288.97048639040673,288.80861792102525
1.8000000000000005,289.59023427895795,288.3776716762689,288.25279099328753
1.9,288.7183157961911,287.53874530594396,287.45401926635833
2.0,288.3156983120032,287.1654771191193,287.10744724765823
