H,PC1,PC2,PC3
0.066,-0.2363023520849516,0.2031854742135066,-0.2930956784009258
0.1,-0.2320968339011863,0.2208363974333594,-0.2867925957839051
0.2,-0.2328527128955171,0.2181149226444642,-0.2591646480975688
0.3,-0.2332554595778612,0.222387815209506,-0.2173947033514294
0.4,-0.232499164745247,0.2210008331667883,-0.144771620994437
0.5,-0.2306372187168513,0.2089410336532497,-0.0607446966252845
0.6,-0.230206901009036,0.1889021760290968,0.0507935581762662
0.7000000000000001,-0.2297914413507572,0.1625189864084009,0.1521063021785835
0.8,-0.2295058018273138,0.1252166398227521,0.226563026706495
0.9,-0.2297057874014172,0.0845207370560673,0.2669930789843426
1.0,-0.2292235503837192,0.046739542858751,0.2905958089986992
1.1,-0.2263289107747,-0.0069776871501395,0.3075393722958067
1.2000000000000002,-0.2218143263151283,-0.0741024968016541,0.2822010060114579
1.3000000000000005,-0.2157918357573617,-0.1396932375480315,0.2304703432722768
1.4,-0.2094229087571094,-0.1997176680084118,0.1522102239205724
1.5000000000000002,-0.2037530479838976,-0.2580853341689353,0.0755213898415475
1.6,-0.1984698127882629,-0.3017127888525667,-0.0159536571073397
1.7000000000000002,-0.1932861009448253,-0.3179220908348746,-0.1093379570846991
1.8000000000000005,-0.1887204048743233,-0.3282826446103106,-0.1917324431878903
1.9,-0.1840614927053184,-0.3245874063793786,-0.2618513165389947
2.0,-0.1789536203539715,-0.3106991597581646,-0.2936808420780197
