H,PC1,PC2,PC3
0.066,-1.8454057504598245,0.40744362818716695,0.23893888371772154
0.1,-1.847921651469715,0.40129199156510487,0.2374636108017445
0.2,-1.8440637295632905,0.3949919377168132,0.23762086467157523
0.3,-1.8544721171670409,0.40119987941929447,0.24285595643325592
0.4,-1.8837223629616218,0.41995137309965436,0.2568327891385915
0.5,-1.9183535718787132,0.42124935515977946,0.24601994949742742
0.6,-1.9509702248251959,0.4183904202503446,0.2321043880747756
0.7000000000000001,-1.9360778984451774,0.3914322669679773,0.1851516418511318
0.8,-1.9562003650183266,0.35668061922062844,0.12218689253278113
0.9,-1.969313382076966,0.33971097032189546,0.04321039607917857
1.0,-1.9943425820155867,0.32002518079381975,-0.018531516148101966
1.1,-2.0830955470023795,0.3084603357710265,-0.1190730025175858
1.2000000000000002,-2.250962013611157,0.27766647152789886,-0.26403510061590935
1.3000000000000005,-2.3757035668785647,0.24039279034436936,-0.4148630509717139
1.4,-2.549888818962421,0.109745857339228,-0.4998036645856083
1.5000000000000002,-2.7381257048801455,-0.09124234851487974,-0.5201677034614784
1.6,-2.8246971200800766,-0.29161272448401954,-0.4334260974380735
1.7000000000000002,-2.8664473317488364,-0.5229190226401749,-0.22835829729553997
1.8000000000000005,-2.9002775676806007,-0.7940939238499886,0.06674826497418127
1.9,-2.8887685520162685,-0.9393413775531664,0.34815625126031946
2.0,-2.8177200852537525,-0.9488275745809781,0.4910761944845211
