H,PC1,PC2,PC3
0.066,-0.1758994615956031,0.1880747512644647,0.1759608335726406
0.1,-0.1761392709887175,0.1852351743327763,0.174874404072329
0.2,-0.1757715435195423,0.1823270884565974,0.1749902099285689
0.3,-0.1767636449991881,0.1851926556437768,0.1788454682100249
0.4,-0.1795517052864847,0.1938482886339455,0.1891383728024882
0.5,-0.1828526655232258,0.1944474332424645,0.181175515326372
0.6,-0.1859616033223561,0.1931277575013918,0.1709277325065032
0.7000000000000001,-0.1845421040108911,0.1806839551631663,0.1363505040726522
0.8,-0.1864601272073131,0.1646426992593912,0.0899816184255665
0.9,-0.1877100272035247,0.156809560452252,0.0318212640604728
1.0,-0.1900957479547877,0.1477226593135338,-0.0136470924198221
1.1,-0.1985554586456752,0.1423843616924583,-0.0876884685028666
1.2000000000000002,-0.2145560704835232,0.1281700067306046,-0.1944423430541273
1.3000000000000005,-0.2264461234178814,0.1109645877908268,-0.3055159843875066
1.4,-0.2430490260867445,0.0506583571160896,-0.3680684703752191
1.5000000000000002,-0.2609912953557713,-0.0421171931883511,-0.383065080385907
1.6,-0.26924306617606,-0.1346075550792287,-0.3191862965570701
1.7000000000000002,-0.2732225919536335,-0.2413778454508802,-0.1681690134319979
1.8000000000000005,-0.2764472054482901,-0.3665513628798315,0.0491551653780214
1.9,-0.2753501948540904,-0.4335971499217466,0.2563913551118171
2.0,-0.2685780326628728,-0.4379759498906881,0.3616413334853446
