H,PC1,PC2,PC3
0.066,290.9954057504598,288.74255637181284,288.91106111628227
0.1,289.95792165146975,287.7087080084349,287.8725363891983
0.2,289.6940637295633,287.4550080622832,287.61237913532847
0.3,289.50447211716704,287.2488001205807,287.40714404356675
0.4,289.23372236296166,286.9300486269004,287.09316721086145
0.5,289.0683535718787,286.7287506448402,286.9039800505025
0.6,289.67369749755244,287.3043368524769,287.49062288465245
0.7000000000000001,289.45607789844513,287.12856773303196,287.3348483581488
0.8,289.11620036501836,286.8033193807794,287.03781310746723
0.9,288.5493133820769,286.240289029678,286.53678960392074
1.0,289.33525167292464,287.02088391011523,287.3594406070572
1.1,288.37855009245686,285.9869942096835,286.4145275479721
1.2000000000000002,287.8176286802778,285.2890001951387,285.8307017672825
1.3000000000000005,286.82570356687853,284.20960720965564,284.8648630509717
1.4,284.0598888189624,281.40025414266074,282.0098036645856
1.5000000000000002,282.91120262795704,280.2643192715918,280.6932446265384
1.6,281.60469712008006,279.071612724484,279.21342609743806
1.7000000000000002,281.6073564226579,279.26382811354927,278.9692673882046
1.8000000000000005,282.1502775676806,280.04409392384997,279.1832517350258
1.9,282.0387685520162,280.0893413775531,278.80184374873966
2.0,280.73135644889015,278.8624639382174,277.42256016915184
