H,PC1,PC2,PC3
0.066,287.3045942495402,289.5574436281871,289.3889388837177
0.1,286.2620783485303,288.51129199156514,288.34746361080175
0.2,286.00593627043673,288.24499193771686,288.0876208646716
0.3,285.7955278828329,288.05119987941924,287.8928559564332
0.4,285.4662776370384,287.7699513730997,287.6068327891386
0.5,285.2316464281213,287.57124935515975,287.39601994949743
0.6,285.77175704790204,288.14111769297756,287.95483166080203
0.7000000000000001,285.5839221015547,287.9114322669679,287.70515164185105
0.8,285.2037996349817,287.51668061922066,287.2821868925328
0.9,284.61068661792297,286.91971097032183,286.6232103960791
1.0,285.3465665088935,287.6609342717029,287.32237757476094
1.1,284.21235899845215,286.60391488122553,286.1763815429369
1.2000000000000002,283.31570465305543,285.8443331381945,285.3026315660507
1.3000000000000005,282.07429643312145,284.69039279034433,284.0351369490283
1.4,278.9601111810376,281.61974585733924,281.0101963354144
1.5000000000000002,277.4349512181968,280.08183457456204,279.6529092196154
1.6,275.9553028799199,278.48838727551595,278.3465739025619
1.7000000000000002,275.8744617591603,278.21799006826893,278.51255079361357
1.8000000000000005,276.3497224323194,278.45590607615003,279.3167482649742
1.9,276.26123144798373,278.21065862244683,279.4981562512603
2.0,275.0959162783826,276.9648087890554,278.40471255812093
