H,PC1,PC2,PC3
0.066,-1.845405750459804,0.40744362818713853,0.238938883717708
0.1,-1.8479216514697328,0.40129199156513096,0.23746361080173983
0.2,-1.8440637295632882,0.3949919377168385,0.2376208646715554
0.3,-1.854472117167063,0.4011998794192664,0.24285595643323177
0.4,-1.8837223629616346,0.41995137309965,0.25683278913857066
0.5,-1.918353571878697,0.42124935515977313,0.24601994949745176
0.6,-1.9509702248251983,0.4183904202503186,0.23210438807478795
0.7000000000000001,-1.9360778984452054,0.39143226696796773,0.18515164185112098
0.8,-1.9562003650183328,0.35668061922064,0.12218689253279535
0.9,-1.9693133820769617,0.339710970321903,0.043210396079189195
1.0,-1.9943425820155767,0.32002518079383435,-0.018531516148129867
1.1,-2.083095547002358,0.3084603357710307,-0.11907300251760944
1.2000000000000002,-2.250962013611172,0.2776664715278798,-0.2640351006158994
1.3000000000000005,-2.375703566878542,0.24039279034434458,-0.4148630509716895
1.4,-2.5498888189624154,0.10974585733924869,-0.4998036645856132
1.5000000000000002,-2.738125704880133,-0.0912423485148679,-0.5201677034614818
1.6,-2.8246971200800886,-0.2916127244840254,-0.4334260974380868
1.7000000000000002,-2.866447331748816,-0.522919022640167,-0.2283582972955287
1.8000000000000005,-2.9002775676805754,-0.7940939238499709,0.06674826497419417
1.9,-2.888768552016245,-0.9393413775531485,0.34815625126032046
2.0,-2.817720085253768,-0.9488275745810029,0.491076194484549
