bin_left,bin_right,bin_center,count,density
-11.154532182281976,-10.461008841932362,-10.807770512107169,2,0.0032475507617621964
-10.461008841932362,-9.767485501582746,-10.114247171757555,1,0.0016237753808810939
-9.767485501582746,-9.073962161233132,-9.420723831407939,2,0.0032475507617621964
-9.073962161233132,-8.380438820883516,-8.727200491058323,2,0.0032475507617621877
-8.380438820883516,-7.6869154805339015,-8.033677150708709,6,0.009742652285286589
-7.6869154805339015,-6.993392140184287,-7.340153810359094,9,0.014613978427929882
-6.993392140184287,-6.299868799834672,-6.64663047000948,11,0.017861529189692055
-6.299868799834672,-5.606345459485057,-5.953107129659864,13,0.021109079951454245
-5.606345459485057,-4.912822119135442,-5.25958378931025,11,0.017861529189692055
-4.912822119135442,-4.219298778785827,-4.566060448960634,24,0.038970609141146306
-4.219298778785827,-3.525775438436213,-3.87253710861102,21,0.03409928299850306
-3.525775438436213,-2.832252098086599,-3.179013768261406,40,0.06495101523524392
-2.832252098086599,-2.138728757736983,-2.485490427911791,46,0.07469366752053032
-2.138728757736983,-1.4452054173873687,-1.7919670875621758,71,0.11528805204255797
-1.4452054173873687,-0.7516820770377528,-1.0984437472125608,93,0.15101111042194174
-0.7516820770377528,-0.058158736688138646,-0.4049204068629457,100,0.1623775380881098
-0.058158736688138646,0.6353646036614755,0.28860293348666843,103,0.16724886423075308
0.6353646036614755,1.3288879440110914,0.9821262738362835,85,0.13802090737489298
1.3288879440110914,2.0224112843607056,1.6756496141858985,59,0.09580274747198478
2.0224112843607056,2.7159346247103215,2.3691729545355136,45,0.07306989213964922
2.7159346247103215,3.4094579650599357,3.0626962948851286,24,0.038970609141146355
3.4094579650599357,4.10298130540955,3.756219635234743,29,0.04708948604555185
4.10298130540955,4.796504645759166,4.449742975584358,16,0.0259804060940975
4.796504645759166,5.490027986108778,5.143266315933972,14,0.022732855332335433
5.490027986108778,6.183551326458396,5.836789656283587,21,0.034099282998502886
6.183551326458396,6.87707466680801,6.530312996633203,10,0.01623775380881098
6.87707466680801,7.570598007157624,7.223836336982817,10,0.01623775380881098
7.570598007157624,8.264121347507238,7.917359677332431,8,0.012990203047048786
8.264121347507238,8.957644687856853,8.610883017682045,2,0.0032475507617621964
8.957644687856853,9.65116802820647,9.304406358031661,6,0.009742652285286538
9.65116802820647,10.344691368556084,9.997929698381277,3,0.004871326142643294
10.344691368556084,11.038214708905699,10.691453038730891,0,0.0
11.038214708905699,11.731738049255314,11.384976379080506,1,0.0016237753808810939
