H,PC1
0.066,298.3533595672804
0.1,298.9212648319333
0.2,298.0687000472585
0.3,297.1601069728621
0.4,296.2943352507017
0.5,295.31012566643625
0.6,295.2613871183109
0.7000000000000001,295.26367105144203
0.8,294.91149117145847
0.9,294.50301737674243
1.0,293.8993371478666
1.1,293.42270102859993
1.2000000000000002,292.87612641808624
1.3000000000000005,292.39683198504156
1.4,291.8482270289847
1.5000000000000002,291.50495705058495
1.6,290.894637635005
1.7000000000000002,290.22507773953885
1.8000000000000005,289.59023427895795
1.9,288.7183157961911
2.0,288.3156983120032
