H,PC1
0.066,1.8033595672804363
0.1,1.771264831933331
0.2,1.777033380591885
0.3,1.7801069728620735
0.4,1.7743352507016896
0.5,1.7601256664362732
0.6,1.756841663765492
0.7000000000000001,1.7536710514420613
0.8,1.7514911714584298
0.9,1.7530173767424457
1.0,1.7493371478666457
1.1,1.7272464831453862
1.2000000000000002,1.6927930847529007
1.3000000000000005,1.6468319850415445
1.4,1.59822702898471
1.5000000000000002,1.5549570505849872
1.6,1.5146376350050046
1.7000000000000002,1.475077739538846
1.8000000000000005,1.4402342789579945
1.9,1.4046794325547993
2.0,1.3656983120032054
