H,PC1
0.066,-0.2363023520849516
0.1,-0.2320968339011863
0.2,-0.2328527128955171
0.3,-0.2332554595778612
0.4,-0.232499164745247
0.5,-0.2306372187168513
0.6,-0.230206901009036
0.7000000000000001,-0.2297914413507572
0.8,-0.2295058018273138
0.9,-0.2297057874014172
1.0,-0.2292235503837192
1.1,-0.2263289107747
1.2000000000000002,-0.2218143263151283
1.3000000000000005,-0.2157918357573617
1.4,-0.2094229087571094
1.5000000000000002,-0.2037530479838976
1.6,-0.1984698127882629
1.7000000000000002,-0.1932861009448253
1.8000000000000005,-0.1887204048743233
1.9,-0.1840614927053184
2.0,-0.1789536203539715
