H,PC1
0.066,294.7466404327195
0.1,295.37873516806667
0.2,294.51463328607474
0.3,293.5998930271379
0.4,292.74566474929827
0.5,291.78987433356366
0.6,291.7477037907799
0.7000000000000001,291.75632894855795
0.8,291.4085088285416
0.9,290.99698262325757
1.0,290.40066285213334
1.1,289.96820806230915
1.2000000000000002,289.49054024858043
1.3000000000000005,289.10316801495844
1.4,288.6517729710153
1.5000000000000002,288.39504294941503
1.6,287.865362364995
1.7000000000000002,287.27492226046115
1.8000000000000005,286.709765721042
1.9,285.9089569310815
2.0,285.5843016879968
