PC,mean,std,skew,kurtosis,min,p01,p05,p25,median,p75,p95,p99,max,n,normaltest_stat,normaltest_p
PC1,2.56051436309946e-16,38.98987230426874,1.2401298282412787,1.3116248540826794,-49.551598309467785,-43.000217972737175,-39.35168191545078,-31.663400185384784,-11.242062123925848,20.73050773937233,81.67595184336766,120.97301671094787,160.27346126944718,888,173.0573043006359,2.636840403264935e-38
PC2,2.56051436309946e-16,12.329186186616965,0.902419515546349,3.9593851038798578,-41.24799757993615,-31.14130073049872,-18.467171671577606,-6.219355402144229,-0.008340790356862951,4.195300578984956,21.507068302760096,44.114025094611485,62.73881628793477,888,178.00450972740742,2.222346818706826e-39
PC3,-2.56051436309946e-16,8.290042570635304,0.10033830860308089,6.605880974167414,-45.29818144277471,-25.294005075651956,-12.309151551918216,-3.33016323799286,0.44260753537993786,3.2592639590122636,12.525851854588424,23.69276168832965,53.82921047306888,888,129.74260025718777,6.710460437543248e-29
