PC,n,data_min,data_max,IQR,std,FD_width,FD_bins,Scott_width,Scott_bins,Sturges_bins,recommended_rule,recommended_bins,recommended_width
PC1,888,-49.551598309467785,160.27346126944718,52.393907924757116,38.98987230426874,10.90200724449821,20,14.197619580770079,15,11,FD,20,10.491252978945749
PC2,888,-41.24799757993615,62.73881628793477,10.414655981129185,12.329186186616965,2.167058336596741,48,4.48950162883474,24,11,FD,48,2.1663919555806443
PC3,888,-45.29818144277471,53.82921047306888,6.589427197005124,8.290042570635304,1.3711132817580605,73,3.0187036727838485,33,11,FD,73,1.3579094782992271
