H,T_rep,T_plus,T_minus,delta_c,w_i,delta_theoretical_plus,delta_theoretical_minus,delta_effective_plus,delta_effective_minus
0.066,296.54999999999995,296.69091386878705,296.40908613121286,0.6935233403496148,0.2031854742135066,0.14091386878707163,-0.14091386878707163,0.14091386878707163,-0.14091386878707163
0.1,297.15,297.30315519601874,296.9968448039812,0.6935233403496148,0.2208363974333594,0.15315519601875852,-0.15315519601875852,0.15315519601875852,-0.15315519601875852
0.2,296.29166666666663,296.44293445639914,296.1403988769341,0.6935233403496148,0.2181149226444642,0.15126778973248664,-0.15126778973248664,0.15126778973248664,-0.15126778973248664
0.3,295.38,295.53423114045717,295.2257688595428,0.6935233403496148,0.222387815209506,0.15423114045714947,-0.15423114045714947,0.15423114045714947,-0.15423114045714947
0.4,294.52,294.67326923603787,294.3667307639621,0.6935233403496148,0.2210008331667883,0.15326923603787898,-0.15326923603787898,0.15326923603787898,-0.15326923603787898
0.5,293.54999999999995,293.6949054835953,293.40509451640463,0.6935233403496148,0.2089410336532497,0.14490548359530303,-0.14490548359530303,0.14490548359530303,-0.14490548359530303
0.6,293.5045454545454,293.6355535226644,293.3735373864264,0.6935233403496148,0.1889021760290968,0.13100806811901017,-0.13100806811901017,0.13100806811901017,-0.13100806811901017
0.7000000000000001,293.51,293.62271071032416,293.3972892896758,0.6935233403496148,0.1625189864084009,0.11271071032418785,-0.11271071032418785,0.11271071032418785,-0.11271071032418785
0.8,293.16,293.24684066231725,293.0731593376828,0.6935233403496148,0.1252166398227521,0.08684066231722964,-0.08684066231722964,0.08684066231722964,-0.08684066231722964
0.9,292.75,292.80861710389195,292.69138289610805,0.6935233403496148,0.0845207370560673,0.058617103891935265,-0.058617103891935265,0.058617103891935265,-0.058617103891935265
1.0,292.15,292.1824149638898,292.11758503611014,0.6935233403496148,0.046739542858751,0.032414963889814984,-0.032414963889814984,0.032414963889814984,-0.032414963889814984
1.1,291.69545454545454,291.69061535655425,291.70029373435483,0.6935233403496148,-0.0069776871501395,-0.00483918890027933,0.00483918890027933,-0.00483918890027933,0.00483918890027933
1.2000000000000002,291.18333333333334,291.1319415222232,291.2347251444435,0.6935233403496148,-0.0741024968016541,-0.0513918111101298,0.0513918111101298,-0.0513918111101298,0.0513918111101298
1.3000000000000005,290.75,290.6531194792714,290.8468805207286,0.6935233403496148,-0.1396932375480315,-0.09688052072856305,0.09688052072856305,-0.09688052072856305,0.09688052072856305
1.4,290.25,290.11149113575595,290.38850886424405,0.6935233403496148,-0.1997176680084118,-0.13850886424402914,0.13850886424402914,-0.13850886424402914,0.13850886424402914
1.5000000000000002,289.95,289.7710117969519,290.1289882030481,0.6935233403496148,-0.2580853341689353,-0.1789882030480866,0.1789882030480866,-0.1789882030480866,0.1789882030480866
1.6,289.38,289.1707551388488,289.5892448611512,0.6935233403496148,-0.3017127888525667,-0.2092448611512301,0.2092448611512301,-0.2092448611512301,0.2092448611512301
1.7000000000000002,288.75,288.52951360959327,288.97048639040673,0.6935233403496148,-0.3179220908348746,-0.2204863904067359,0.2204863904067359,-0.2204863904067359,0.2204863904067359
1.8000000000000005,288.15,287.92232832373105,288.3776716762689,0.6935233403496148,-0.3282826446103106,-0.22767167626894808,0.22767167626894808,-0.22767167626894808,0.22767167626894808
1.9,287.3136363636363,287.08852742132865,287.53874530594396,0.6935233403496148,-0.3245874063793786,-0.22510894230764453,0.22510894230764453,-0.22510894230764453,0.22510894230764453
2.0,286.95,286.73452288088066,287.1654771191193,0.6935233403496148,-0.3106991597581646,-0.21547711911930092,0.21547711911930092,-0.21547711911930092,0.21547711911930092
