H,T_rep,T_plus,T_minus,delta_c,w_i,delta_theoretical_plus,delta_theoretical_minus,delta_effective_plus,delta_effective_minus
0.066,296.54999999999995,296.3928664684484,296.7071335315515,0.5361168489718077,-0.2930956784009258,-0.15713353155155865,0.15713353155155865,-0.15713353155155865,0.15713353155155865
0.1,297.15,296.99624565723985,297.3037543427601,0.5361168489718077,-0.2867925957839051,-0.15375434276011252,0.15375434276011252,-0.15375434276011252,0.15375434276011252
0.2,296.29166666666663,296.15272413216366,296.4306092011696,0.5361168489718077,-0.2591646480975688,-0.13894253450295596,0.13894253450295596,-0.13894253450295596,0.13894253450295596
0.3,295.38,295.2634510366561,295.4965489633439,0.5361168489718077,-0.2173947033514294,-0.11654896334392921,0.11654896334392921,-0.11654896334392921,0.11654896334392921
0.4,294.52,294.4423854947319,294.59761450526804,0.5361168489718077,-0.144771620994437,-0.07761450526807837,0.07761450526807837,-0.07761450526807837,0.07761450526807837
0.5,293.54999999999995,293.51743374465343,293.5825662553465,0.5361168489718077,-0.0607446966252845,-0.032566255346495925,0.032566255346495925,-0.032566255346495925,0.032566255346495925
0.6,293.5045454545454,293.53177673690294,293.47731417218785,0.5361168489718077,0.0507935581762662,0.027231282357526032,-0.027231282357526032,0.027231282357526032,-0.027231282357526032
0.7000000000000001,293.51,293.5915467514327,293.4284532485673,0.5361168489718077,0.1521063021785835,0.08154675143273579,-0.08154675143273579,0.08154675143273579,-0.08154675143273579
0.8,293.16,293.2814642559714,293.03853574402865,0.5361168489718077,0.226563026706495,0.1214642559714016,-0.1214642559714016,0.1214642559714016,-0.1214642559714016
0.9,292.75,292.8931394882024,292.6068605117976,0.5361168489718077,0.2669930789843426,0.14313948820236672,-0.14313948820236672,0.14313948820236672,-0.14313948820236672
1.0,292.15,292.30579330944477,291.9942066905552,0.5361168489718077,0.2905958089986992,0.15579330944479589,-0.15579330944479589,0.15579330944479589,-0.15579330944479589
1.1,291.69545454545454,291.86033158466455,291.5305775062445,0.5361168489718077,0.3075393722958067,0.16487703920999552,-0.16487703920999552,0.16487703920999552,-0.16487703920999552
1.2000000000000002,291.18333333333334,291.3346260474529,291.0320406192138,0.5361168489718077,0.2822010060114579,0.151292714119537,-0.151292714119537,0.151292714119537,-0.151292714119537
1.3000000000000005,290.75,290.8735590342166,290.6264409657834,0.5361168489718077,0.2304703432722768,0.12355903421658389,-0.12355903421658389,0.12355903421658389,-0.12355903421658389
1.4,290.25,290.3316024656296,290.1683975343704,0.5361168489718077,0.1522102239205724,0.08160246562959055,-0.08160246562959055,0.08160246562959055,-0.08160246562959055
1.5000000000000002,289.95,289.9904882895518,289.90951171044816,0.5361168489718077,0.0755213898415475,0.04048828955182193,-0.04048828955182193,0.04048828955182193,-0.04048828955182193
1.6,289.38,289.371446975622,289.388553024378,0.5361168489718077,-0.0159536571073397,-0.008553024377963644,0.008553024377963644,-0.008553024377963644,0.008553024377963644
1.7000000000000002,288.75,288.69138207897475,288.80861792102525,0.5361168489718077,-0.1093379570846991,-0.058617921025263614,0.058617921025263614,-0.058617921025263614,0.058617921025263614
1.8000000000000005,288.15,288.0472090067124,288.25279099328753,0.5361168489718077,-0.1917324431878903,-0.10279099328755788,0.10279099328755788,-0.10279099328755788,0.10279099328755788
1.9,287.3136363636363,287.1732534609143,287.45401926635833,0.5361168489718077,-0.2618513165389947,-0.1403829027220052,0.1403829027220052,-0.1403829027220052,0.1403829027220052
2.0,286.95,286.79255275234175,287.10744724765823,0.5361168489718077,-0.2936808420780197,-0.157447247658255,0.157447247658255,-0.157447247658255,0.157447247658255
