,H,Td_anomaly
0,0.066,-1.794594594594571
1,0.1,-2.3798986416533694
2,0.2,-2.2177356941418225
3,0.3,-2.07733287894132
4,0.4,-1.8369320226727268
5,0.5,-1.3921343699468594
6,0.6,-0.06988608599789359
7,0.7000000000000001,0.4120701833199405
8,0.8,0.8065728884475902
9,0.9,0.9976002682582248
10,1.0,2.3834945855258525
11,1.1,2.0473197227888704
12,1.2000000000000002,2.149919647575871
13,1.3000000000000005,1.899700656750099
14,1.4,-0.1551989711274473
15,1.5000000000000002,-0.46519695236816005
16,1.6,-0.8328462265964163
17,1.7000000000000002,0.020559973997478664
18,1.8000000000000005,1.5284952541203438
19,1.9,2.25793557449731
20,2.0,1.6394914676164376
