file_index,norm_T,norm_Td,norm_combined
7,33.922518043819274,31.612353262248668,46.36893474310627
8,33.82234966804489,118.61088137171313,123.33893349969466
9,34.19608020124433,65.55805810874217,73.94072547736565
10,27.571354562250615,70.78615826000517,75.9661753256529
11,39.29357691751389,54.17705140950065,66.92636316430362
12,35.671610731082204,51.50573541315997,62.65225129714255
13,35.81726279434567,58.37619858180522,68.48837036272346
14,30.894332387942583,30.43033234857597,43.36432751169408
15,29.71042316678601,123.80308323504165,127.31815527744716
16,24.357530015017062,6.761127129317547,25.278491024807057
17,23.534114890454962,21.17193712700654,31.65604974388074
18,28.978203530213396,19.354326416405627,34.84718397333203
19,39.17067780220659,24.080927481417493,45.98079020471015
20,37.10646740212268,23.412514674450247,43.87522953154937
21,45.03810609512454,59.510416530794174,74.63190119717112
22,49.54816828648662,39.60338749066685,63.43066514929436
23,41.56143316013228,37.60734076014249,56.0505557989715
24,12.078136750524754,19.391161237096664,22.845098412733023
25,8.81950874908675,39.16230454719688,40.14311686980241
26,13.265711202910488,49.3515781189913,51.103398679089096
27,13.491272108883285,26.941707444924766,30.13088155304864
28,21.716197102042482,6.867193404574945,22.776118234470857
29,14.804657175267872,18.052281244384467,23.346578597378368
30,14.857469418977168,54.16277755597278,56.163608058186846
31,8.518261055631239,147.09174759634837,147.3381925447701
32,4.96261584059276,42.66937606588631,42.95699256038921
33,2.441751106126782,22.267670020210968,22.401144537573824
34,4.103364578565076,18.71699598668327,19.161511934869342
35,2.0526279818544912,17.709592225429898,17.8281501682844
36,11.811082467762665,25.990304412964644,28.548162682366446
37,17.936631399943547,33.61065513335973,38.09722935425988
38,17.25844830930627,35.803728814071434,39.74620780699167
39,21.936467747044876,38.21943481034712,44.06737812077675
40,21.497207912077755,35.02513778442847,41.09610960703334
41,18.96427215985964,38.21344544415584,42.66041527302216
42,21.119585517593208,29.605734096945532,36.3666933313159
43,22.171622836477795,30.07666496907277,37.365580884884864
44,24.929580022918657,35.185715935094535,43.122135452505944
45,27.79280859543692,31.326305691460384,41.878128395349954
46,21.594822569425222,35.33922492064668,41.41493908962094
47,20.956210786540403,35.29308634890303,41.04588547663502
48,21.564126898734116,38.679321015556916,44.28432502736393
49,23.190055030656016,34.80731995336283,41.824970707229724
50,27.86866306184603,33.07237642624047,43.24863539273404
51,26.986600837527327,36.609224557071826,45.48089651088841
52,24.784181562645628,27.028008775768075,36.67109098613211
53,20.101608419293658,42.263771081033234,46.800651779997665
54,27.327836153142695,40.76793992802776,49.079889514833795
55,26.857429083184464,36.94180042436861,45.67294730529401
56,18.097491798709946,20.331928535514397,27.219598222193476
57,15.970992167177311,27.37842762160479,31.696228321923275
58,18.92464677991131,25.850140390772253,32.03704127985358
59,19.487325811218884,33.52781276019604,38.77976399819063
60,20.458199953170713,39.814276237255385,44.76287007800542
61,24.867689690597658,33.88616616335239,42.031824226390476
62,33.187666340439286,30.08022420201396,44.79108265232884
63,37.09432631933976,29.852784328543784,47.614890289196424
64,22.44965969103209,32.4798673175578,39.48327495547083
65,27.495862975884375,32.28107320871761,42.40389331529824
66,22.480605602512142,25.532834935977164,34.0191606028655
67,18.864370135719827,29.746145396718024,35.22353796227923
68,19.439580665436246,34.65609282115774,39.73590399219205
69,15.242250825776793,14.948760934848185,21.349277826735413
70,13.242700461055106,28.58019491164035,31.499153269390945
71,13.701731122856561,36.26142923427387,38.763754795882555
72,13.808332688602343,37.4946395600773,39.956451886763396
73,17.624467799285796,34.62970262211355,38.85663609866505
74,23.10113722282988,27.29398665338745,35.75785575818701
75,21.758706205924895,16.210675816343144,27.13350891754192
76,5.277573873414612,35.21411514052237,35.607396578791246
77,1.9506820486533551,15.033561666270849,15.159588939958327
78,10.068305462921188,42.704323401476245,43.87516395493651
79,4.571304953561022,24.560241581731827,24.98203945900896
80,6.283179208952532,80.46866940035846,80.71359920134896
81,7.457861290376278,75.82486809519563,76.19074954796224
82,8.686685549658305,13.022597903025405,15.653963139809806
83,6.265082723143635,17.80446453907251,18.8745918909767
84,6.7154475241045155,18.07467253025094,19.281883272253502
85,4.638888704111265,19.746727719911732,20.284293038049455
86,11.246351084714627,27.467141606253957,29.68036860853768
87,4.938629108643338,20.146024139638925,20.742525065855737
88,7.163843446751026,22.43947506761195,23.555268927344812
89,11.296730202062518,13.726728658494919,17.77749118751398
90,11.968873017942032,21.677143617066093,24.761915853070214
91,23.113853976041057,83.30281859461194,86.45004240272281
92,7.570172267385924,14.354540203792558,16.228380468185847
93,30.487507954418977,25.284090067668885,39.607743584061346
94,40.06136376727393,65.86523018692064,77.09177267691989
95,51.6275366609739,101.07106075695839,113.49344414642185
96,40.97494936327471,74.34863398799112,84.89208356026606
97,22.137886556798804,12.004894061216428,25.183397360616826
98,27.675817616708052,12.43705762227551,30.341906384620746
99,63.876410263230994,115.41438956713334,131.91162612624643
100,35.950953584523525,161.5314945777236,165.4838203696957
101,35.34884071519414,43.85144431529119,56.32485870772558
102,22.775226279754747,44.93917748493076,50.380954785674106
103,30.175939968171285,83.95670663100682,89.21499840995136
104,27.386420416281233,152.9195554042351,155.35252314734458
105,20.403504130263016,63.11042663467723,66.3266833997045
106,8.53913287831048,12.261003203303556,14.941518994562202
107,42.18388938743851,45.68222321287929,62.17994887037923
108,31.924878192792303,102.46711279009344,107.32523958120174
109,7.050870733084712,19.9884896730457,21.195624489599854
110,14.43815535057813,33.84469597857764,36.79570322483018
111,13.920449390897987,27.45446174771271,30.781916462448738
112,10.539405858378016,24.176526877381846,26.37391756452536
113,20.546893778687505,37.87032135375547,43.08521885042914
114,24.13905967052039,42.173953405430474,48.59358545755154
115,22.750903009098597,37.35734900018793,43.73985724772377
116,23.395599189743177,31.764853004837025,39.45072810311636
117,15.465242020480822,34.488170440599816,37.79692594764697
118,19.887979175858586,37.79167137570919,42.70529406372215
119,21.977437569631512,32.10565905423828,38.90733999432553
120,23.678034168195932,24.215669583826184,33.8680964251506
121,24.27915398561542,33.131744315849325,41.0754160011562
122,23.632240382889112,38.27691919745835,44.984500983821206
123,26.018330490719567,31.799988031861954,41.08762295814727
124,19.31229373353068,35.28067235659825,40.22052375571215
125,31.23635438585861,49.75385785397333,58.74654208268203
126,21.67582103130178,40.822744412745195,46.22053308616575
127,20.300317069226388,31.033737513274964,37.08363166080116
128,22.522864057218143,32.21363210497983,39.306456196595946
