,H,T_DP
0,0.066,289.15
1,0.1,288.11
2,0.2,287.85
3,0.3,287.65
4,0.4,287.35
5,0.5,287.15
6,0.6,287.72272727272724
7,0.7000000000000001,287.5199999999999
8,0.8,287.16
9,0.9,286.5799999999999
10,1.0,287.34090909090907
11,1.1,286.2954545454545
12,1.2000000000000002,285.5666666666666
13,1.3000000000000005,284.45
14,1.4,281.51
15,1.5000000000000002,280.1730769230769
16,1.6,278.78
17,1.7000000000000002,278.7409090909091
18,1.8000000000000005,279.25
19,1.9,279.15
20,2.0,277.9136363636364
