,H,T_atm
0,0.066,296.54999999999995
1,0.1,297.15
2,0.2,296.29166666666663
3,0.3,295.38
4,0.4,294.52
5,0.5,293.54999999999995
6,0.6,293.5045454545454
7,0.7000000000000001,293.51
8,0.8,293.16
9,0.9,292.75
10,1.0,292.15
11,1.1,291.69545454545454
12,1.2000000000000002,291.18333333333334
13,1.3000000000000005,290.75
14,1.4,290.25
15,1.5000000000000002,289.95
16,1.6,289.38
17,1.7000000000000002,288.75
18,1.8000000000000005,288.15
19,1.9,287.3136363636363
20,2.0,286.95
