,H,T_anomaly
0,0.066,-0.45349099099308887
1,0.1,-0.17188140100023475
2,0.2,-0.1692075760732905
3,0.3,-0.2587044164396275
4,0.4,-0.3675586505063393
5,0.5,-0.678607494701339
6,0.6,-0.16981739854026046
7,0.7000000000000001,0.32948004573017897
8,0.8,0.4554464016958377
9,0.9,0.5245848628155727
10,1.0,0.4530164670054546
11,1.1,0.5118399786139776
12,1.2000000000000002,0.4853808016307539
13,1.3000000000000005,0.5183518066516513
14,1.4,0.47643681620729694
15,1.5000000000000002,0.6046457184123142
16,1.6,0.45835005710023324
17,1.7000000000000002,0.24337278837282383
18,1.8000000000000005,0.036509205571803705
19,1.9,-0.38295159701431203
20,2.0,-0.33007445226178334
