PC,mean,std,skew,kurtosis,min,p01,p05,p25,median,p75,p95,p99,max,n,normaltest_stat,normaltest_p
PC1,1.7603536246308789e-16,5.993284361973437,0.6747351936112082,-0.5401334536424187,-8.543396924893008,-7.611673830928414,-6.658330714946062,-5.433947372011527,-1.2642406835010904,4.550323001306391,10.904002064146132,15.109166297033301,18.17016149826264,888,77.40134656212003,1.557798022117206e-17
PC2,-3.200642953874325e-17,1.6652074801869847,1.3566102885640192,4.310896457266105,-3.5988169588518835,-2.9067424948606777,-2.3512106669237625,-0.9945088244716531,-0.1221697081308144,0.6359766049246407,3.0741841198648956,5.2375115668228105,10.494898071996976,888,258.5238841191339,7.282019598367207e-57
PC3,-4.0008036923429064e-18,0.9990251095248939,0.35173080104947413,3.329025634583971,-4.596002180477735,-2.6093939268874844,-1.5166274680129064,-0.4866550396975925,-0.00829366163592635,0.4421018177888908,1.706101997433055,3.138468886949116,4.879841488311249,888,91.6480313798037,1.2556911899973717e-20
PC4,3.200642953874325e-17,0.8556877326099984,-0.29920652305238055,4.298117036023607,-3.740316145501607,-2.9986918854667763,-1.5471560376281948,-0.3048888279589934,0.09941508334488675,0.3709329386573878,1.225559265109604,2.4248526124638694,4.708639509524488,888,105.54790720449296,1.2038244572331284e-23
