PC,n,std,kernel,bandwidth_rule,bandwidth_h_scott,FWHM_scott,bandwidth_h_silverman,FWHM_silverman,scott_factor
PC1,888,5.993284361973437,Gaussian,Scott (default in SciPy gaussian_kde),1.541637588756666,3.630279096175913,1.3874738298809994,3.2672511865583216,0.257227505929494
PC2,888,1.6652074801869847,Gaussian,Scott (default in SciPy gaussian_kde),0.4283371669836354,1.0086569468444269,0.28169039582999245,0.6633301905929013,0.257227505929494
PC3,888,0.9990251095248939,Gaussian,Scott (default in SciPy gaussian_kde),0.25697673728402803,0.6051339720628374,0.16045643959667638,0.37784604031639896,0.257227505929494
PC4,888,0.8556877326099984,Gaussian,Scott (default in SciPy gaussian_kde),0.22010642131373365,0.5183110129493984,0.11675817368032589,0.27494448780352554,0.257227505929494
