H,Td_rep,Td_plus,Td_minus,delta_c,w_i,delta_theoretical_plus,delta_theoretical_minus,delta_effective_plus,delta_effective_minus
0.066,289.15,289.05163636234863,289.2483636376513,0.4741867908926069,-0.2074364776509332,-0.09836363765136198,0.09836363765136198,-0.09836363765134593,0.09836363765134593
0.1,288.11,288.00806846019645,288.2119315398036,0.4741867908926069,-0.214960732271101,-0.10193153980355822,0.10193153980355822,-0.10193153980355874,0.10193153980355874
0.2,287.85,287.75832637490726,287.9416736250928,0.4741867908926069,-0.1933280868498705,-0.09167362509274729,0.09167362509274729,-0.091673625092767,0.091673625092767
0.3,287.65,287.5731806338318,287.7268193661682,0.4741867908926069,-0.1620023325060732,-0.07681936616817191,0.07681936616817191,-0.07681936616819485,0.07681936616819485
0.4,287.35,287.3380617485171,287.36193825148297,0.4741867908926069,-0.0251762632621532,-0.011938251482947861,0.011938251482947861,-0.011938251482945361,0.011938251482945361
0.5,287.15,287.1963328082155,287.10366719178444,0.4741867908926069,0.0977100355923114,0.04633280821552054,-0.04633280821552054,0.046332808215538535,-0.046332808215538535
0.6,287.72272727272724,287.85497137999374,287.59048316546074,0.4741867908926069,0.2788861052362368,0.13224410726650898,-0.13224410726650898,0.1322441072665015,-0.1322441072665015
0.7000000000000001,287.5199999999999,287.6375302302958,287.40246976970406,0.4741867908926069,0.247856398687655,0.11753023029589767,-0.11753023029589767,0.11753023029586984,-0.11753023029586984
0.8,287.16,287.28246632347765,287.0375336765224,0.4741867908926069,0.2582659952359937,0.12246632347764115,-0.12246632347764115,0.12246632347762443,-0.12246632347762443
0.9,286.5799999999999,286.65153172974595,286.5084682702539,0.4741867908926069,0.1508513757023134,0.07153172974601497,-0.07153172974601497,0.0715317297460274,-0.0715317297460274
1.0,287.34090909090907,287.3557392988215,287.3260788829966,0.4741867908926069,0.0312750337995496,0.01483020791246624,-0.01483020791246624,0.014830207912439164,-0.014830207912439164
1.1,286.2954545454545,286.21315468819324,286.37775440271577,0.4741867908926069,-0.1735599954320408,-0.08229985726125494,0.08229985726125494,-0.08229985726126188,0.08229985726126188
1.2000000000000002,285.5666666666666,285.42746246157986,285.70587087175335,0.4741867908926069,-0.2935640717125469,-0.13920420508673972,0.13920420508673972,-0.1392042050867417,0.1392042050867417
1.3000000000000005,284.45,284.3657201190411,284.5342798809589,0.4741867908926069,-0.1777356151153651,-0.08427988095887849,0.08427988095887849,-0.0842798809588885,0.0842798809588885
1.4,281.51,281.6081913553357,281.4118086446643,0.4741867908926069,0.2070731560254164,0.09819135533569628,-0.09819135533569628,0.09819135533570034,-0.09819135533570034
1.5000000000000002,280.1730769230769,280.3090112881012,280.0371425580526,0.4741867908926069,0.2866683923615611,0.13593436502427136,-0.13593436502427136,0.13593436502429768,-0.13593436502429768
1.6,278.78,278.8409138605136,278.71908613948636,0.4741867908926069,0.1284596316969042,0.0609138605136012,-0.0609138605136012,0.06091386051360814,-0.06091386051360814
1.7000000000000002,278.7409090909091,278.67039890082685,278.81141928099134,0.4741867908926069,-0.1486970776843181,-0.07051019008223548,0.07051019008223548,-0.07051019008224557,0.07051019008224557
1.8000000000000005,279.25,279.0513361783652,279.4486638216348,0.4741867908926069,-0.4189568867172595,-0.19866382163481472,0.19866382163481472,-0.19866382163479557,0.19866382163479557
1.9,279.15,279.12572706220413,279.1742729377958,0.4741867908926069,-0.0511885574673058,-0.024272937795843528,0.024272937795843528,-0.02427293779584261,0.02427293779584261
2.0,277.9136363636364,278.07625254397686,277.7510201832959,0.4741867908926069,0.3429369680128847,0.16261618034047037,-0.16261618034047037,0.16261618034047842,-0.16261618034047842
