lambda_um,PC1_U,PC2_U,PC3_U,PC4_U,PC5_U,PC6_U,PC7_U,PC8_U,PC9_U
2.5,0.0002792559449337024,-8.135541250055633e-05,3.419220613222794e-05,9.674568471829383e-05,0.00012631573078686898,0.00014028287032623348,-6.453604885884962e-05,8.948368563152554e-05,-3.350386597126208e-05
2.500625156,0.00028199575214473115,-9.05935728943924e-05,4.1790474161611916e-05,0.0001075754255449685,0.00013088135961049073,0.00015368569233192457,-7.898441800635327e-05,0.00010620041811214021,-3.829013253858523e-05
2.501250625,0.000282905046953578,-5.78130037549741e-05,1.1819528045708425e-05,7.154848772823073e-05,0.0001179454112768957,0.00010766933677905182,-2.8896738295007292e-05,5.015019744184398e-05,-2.3931332836615767e-05
2.501876407,0.00028128622480659977,-0.00011532800233595348,6.17359277387449e-05,0.00012779094175476125,0.0001441977770127209,0.0001733431646069382,-9.234915946779413e-05,0.00012476090785164617,-4.786266567323153e-05
2.502502503,0.0002765219774538517,-0.0001487045818233612,9.31315491101579e-05,0.00016461206056545515,0.00015903607068949165,0.00022204008456094918,-0.00014147361456930656,0.00018191738287727722,-6.446502782863373e-05
2.503128911,0.00026585935828915444,-0.00017507803972189323,0.00013006757425299673,0.00021551184245082619,0.00014457824608135605,0.00031451955640021776,-0.0002901714137123649,0.0003324908923534019,-7.64306942469416e-05
2.503755633,0.0002777979587162527,-0.0001545156827162581,9.867195288158371e-05,0.00017110990506145999,0.00016322123044447827,0.00023008177776436385,-0.00014809578376191238,0.00018990699766580627,-6.80547277541261e-05
2.50438267,0.0002779690141753427,-0.00015779373963019993,0.00010394852790198924,0.00018013468908368888,0.00015827513255222133,0.00024705868563823925,-0.00017819655281921164,0.00021940711380806743,-6.790515692389724e-05
2.50501002,0.0002829483582931484,-0.00015332366202027925,9.497835036729983e-05,0.0001667780087307901,0.0001658845139249243,0.00022159332382742615,-0.00013244338385211675,0.00017515693959467568,-6.790515692389724e-05
2.505637685,0.00027249718606152254,-0.00017641906300486942,0.0001282207729958548,0.0002144288683681587,0.00015218762745405898,0.00030871166686441827,-0.0002733149830402773,0.00031589707702338,-7.628112341671276e-05
2.506265664,0.00027472382689528135,-0.00017805809146184033,0.00012927608799993587,0.00021587283381171532,0.00015370950372859958,0.00030915842759794135,-0.00027211095227798536,0.0003134387340115249,-7.500977135976755e-05
2.506893958,0.0002903441345079991,-0.0001355923541675939,7.91486253060832e-05,0.00014981141476899976,0.00015675325627768075,0.0002028293730194586,-0.00011883783623821751,0.00015671936700576244,-5.713605714742014e-05
2.507522568,0.0002965451990526765,-7.867336593460392e-05,2.55913888489669e-05,8.88038747787324e-05,0.00013392511215957193,0.00012777356978758847,-4.1177852070385395e-05,6.846485288016446e-05,-3.2157728499202434e-05
