window_id,lambda_center_um,lambda_start_um,lambda_end_um,num_points,E_L2,dominant_pc,dominant_sign,dominance_index,opposition_fraction,V_PC1,V_PC2,V_PC3,V_PC4,V_PC5,V_PC6,V_PC7,V_PC8,V_PC9
0,2.75,2.5,3.0,667,0.001038923889560511,PC1,1,0.7507457106628568,0.2857142857142857,0.001029993688617802,-9.095516417531134e-05,3.551536508342572e-05,4.589963152550793e-05,3.416454533870999e-05,5.397218862231416e-05,-3.366671405282691e-05,3.937447786625067e-05,-8.419028474409991e-06
1,2.85,2.6,3.1,621,0.0015324775667749856,PC1,1,0.7754071785756786,0.2857142857142857,0.001522345952546091,-0.00011837407604631793,4.426673847009615e-05,6.019876989835142e-05,4.8854568881603496e-05,7.010156640282716e-05,-4.0520939940348196e-05,4.79281187306209e-05,-1.069513308933749e-05
2,2.95,2.7,3.2,579,0.00210105546336549,PC1,1,0.8089909300723873,0.2857142857142857,0.0020918103947377233,-0.00012965039202305904,4.566538570359766e-05,6.933073677001953e-05,6.214089254737852e-05,8.117449860448621e-05,-4.2907940949534985e-05,5.131303669913349e-05,-1.1709870145666754e-05
3,3.0500000000000003,2.8000000000000003,3.3000000000000003,541,0.002879514122167865,PC1,1,0.8208742566071243,0.2857142857142857,0.002868614504005398,-0.00016408083005283667,5.6300249715996924e-05,8.931120762638426e-05,8.35777562431296e-05,0.00010398826221107145,-5.1874952550404444e-05,6.231317820101843e-05,-1.452362081256828e-05
4,3.1500000000000004,2.9000000000000004,3.4000000000000004,507,0.0036548023926525008,PC1,1,0.8417299514082633,0.2857142857142857,0.003644465891406242,-0.00017624968953374736,5.7800209462535684e-05,0.00010041256764184515,9.968060412031357e-05,0.00011683210357565833,-5.375959888250721e-05,6.519216310887589e-05,-1.5340105388734725e-05
5,3.2500000000000004,3.0000000000000004,3.5000000000000004,476,0.0037526602238178402,PC1,1,0.8583147080219617,0.2857142857142857,0.0037444629037151557,-0.0001548134090979136,4.9431147349390374e-05,9.273800946656385e-05,9.496656195452344e-05,0.00010822654753996945,-4.732616107904275e-05,5.745267450930269e-05,-1.3158303400317987e-05
6,3.3500000000000005,3.1000000000000005,3.6000000000000005,448,0.0038189148095305364,PC1,1,0.8880271018440308,0.2,0.0038140861799972506,-0.0001023964861214308,3.0003757410228154e-05,7.678990109099776e-05,8.528467456474668e-05,9.319882359144294e-05,-3.7665913062837305e-05,4.584672893655099e-05,-9.738545673540491e-06
7,3.4500000000000006,3.2000000000000006,3.7000000000000006,422,0.0038563268970277418,PC1,1,0.9128296496830142,0.25,0.003853419238520965,-5.726520606292035e-05,1.4336697503017878e-05,6.388004817811191e-05,7.689071851698859e-05,8.12691596259543e-05,-3.032131674875552e-05,3.695512633784596e-05,-7.062658689536238e-06
8,3.5500000000000007,3.3000000000000007,3.8000000000000007,399,0.0036483258071797722,PC1,1,0.9442181566992061,0.0,0.003647133747303657,2.0111539000570188e-05,-1.467352072599825e-05,3.631150552747176e-05,5.847317770725233e-05,5.352875081281283e-05,-1.3385469829917904e-05,1.7059245024890924e-05,-1.919544068331717e-06
9,3.650000000000001,3.400000000000001,3.900000000000001,377,0.003297651004450874,PC1,1,0.9426747431820219,0.3333333333333333,0.0032962381891473796,7.318704587624368e-05,-3.333902659938592e-05,1.4846168313597089e-05,4.0290884671592366e-05,3.137972027900541e-05,-2.1453783272322375e-06,3.412597259844477e-06,1.8476388580717569e-06
10,3.750000000000001,3.500000000000001,4.000000000000001,358,0.0031782393759608204,PC1,1,0.9443974047173659,0.3333333333333333,0.00317686712910344,7.363580214201965e-05,-3.341899002577703e-05,1.205128559607493e-05,3.551989257792093e-05,2.767507942802744e-05,-8.102784617337419e-07,1.452328257290485e-06,2.4784259691300055e-06
11,3.850000000000001,3.600000000000001,4.100000000000001,338,0.003006186147087392,PC1,1,0.9607502271210855,0.0,0.0030056809338780154,2.8460522620347625e-05,-1.6582741260099862e-05,1.6913906439332155e-05,3.121773573128696e-05,2.614071172915368e-05,-4.7253969064649515e-07,1.6252068323299054e-07,2.8411679167599996e-06
12,3.950000000000001,3.700000000000001,4.200000000000001,322,0.004130230039214172,PC1,1,0.8833403251149771,0.2,0.004123440281968598,-0.00017597210620720982,6.870506608143922e-05,8.596932196030603e-05,6.142484772583956e-05,8.334341488500335e-05,-3.328050702290269e-05,3.363617931002146e-05,-2.236928730807584e-06
13,4.050000000000001,3.8000000000000007,4.300000000000001,306,0.009904269420926105,PC1,1,0.7549469427264758,0.2857142857142857,0.009821932050155895,-0.0008672614323010007,0.00035107683915304243,0.0004172918081615663,0.00027418257769198055,0.0004898085512774937,-0.0003263634853083638,0.00038318720183037647,-7.899185593144515e-05
14,4.150000000000001,3.9000000000000012,4.400000000000001,292,0.016578372162171156,PC1,1,0.7261098448716236,0.2857142857142857,0.01639323300399888,-0.0016713248048553322,0.0006970030696423391,0.0008204959550409028,0.0005158534041799329,0.0009528188369787464,-0.0006419911427854726,0.000737897633171299,-0.00014617699627168026
15,4.250000000000002,4.000000000000002,4.500000000000002,277,0.02324611819754916,PC1,1,0.7304999394267074,0.2857142857142857,0.022988707369332066,-0.0024242925852915854,0.0010358411400781915,0.0011670153160309776,0.0007211741227816589,0.0012655009101899142,-0.0007934031297939268,0.0008985831907337801,-0.0001753101283937181
16,4.350000000000001,4.100000000000001,4.600000000000001,266,0.02825169402618771,PC1,1,0.7495016365361791,0.2857142857142857,0.0279872300960124,-0.0027776258784243434,0.0011750778841738074,0.001301035242168366,0.0008177304766575989,0.0013673625047644757,-0.0008156727073328669,0.0009214799262569901,-0.0001779046783646567
17,4.450000000000001,4.200000000000001,4.700000000000001,253,0.03292768965848305,PC1,1,0.7855565351179127,0.2857142857142857,0.03272868802555366,-0.0024922957350319574,0.0010270214186513256,0.0012706689028818944,0.0008763582457752873,0.0013875640563862663,-0.0007978459691892256,0.0009079761678640391,-0.0001746401669134743
18,4.550000000000002,4.300000000000002,4.800000000000002,242,0.03551817905355118,PC1,1,0.8450416491345969,0.2857142857142857,0.03542223947200367,-0.0016847352609845152,0.0006554123119583062,0.0010039419243810556,0.0008000607600958408,0.001108061702494604,-0.000538131063326847,0.000601666201533539,-0.00010349524907258776
19,4.650000000000002,4.400000000000002,4.900000000000002,232,0.04029279821028563,PC1,1,0.9039304558521368,0.25,0.040255059452275414,-0.0009129509472528771,0.00026718342566415447,0.0007482634660471002,0.0007776585137927384,0.0008701828338364819,-0.0003009783263445567,0.0003454879117043168,-5.5594068629667904e-05
20,4.750000000000002,4.500000000000002,5.000000000000002,223,0.04987523731534341,PC1,1,0.9386523714666004,0.0,0.049853612762943256,-2.093153575286245e-05,-0.0002039887753776791,0.0005863646053591609,0.0008900829712300799,0.0008857334490719586,-0.00027280463559680004,0.0003409137619989067,-5.7469500050199424e-05
21,4.850000000000001,4.600000000000001,5.100000000000001,213,0.06261091499200344,PC1,1,0.9286291255308342,0.0,0.06257619867605439,7.675463018540415e-05,-0.00032401887942774593,0.0007818556770329384,0.0012189368810541122,0.0012578546965988993,-0.0004571314035251833,0.0005775856723074824,-0.0001152288894690109
22,4.950000000000002,4.700000000000002,5.200000000000002,204,0.07404760818308653,PC1,1,0.9071422256518817,0.2,0.07398061190341693,-0.0009531319603481961,3.748701279436772e-05,0.0012623119817449908,0.0016574716940529221,0.001798931077925477,-0.0007333405788148891,0.0009216195633541876,-0.00020858144423414735
23,5.0500000000000025,4.8000000000000025,5.3000000000000025,197,0.08229301531818639,PC1,1,0.8592608132271338,0.3333333333333333,0.08212450434045174,-0.002760284926090901,0.0007874690497936326,0.00201319426252739,0.002130420869306183,0.0026045441467030116,-0.0012654218168178853,0.0015384207605603304,-0.00035149875479225
24,5.150000000000002,4.900000000000002,5.400000000000002,189,0.08831866160141273,PC1,1,0.8235262335650505,0.2857142857142857,0.08800865620866967,-0.004464137608145556,0.0014930445870486879,0.002692444962579482,0.002562947630090922,0.003322169599716285,-0.0017366461750288422,0.002095595327962666,-0.0004924242982053775
25,5.250000000000002,5.000000000000002,5.500000000000002,181,0.08985391669464317,PC1,1,0.7798314236406125,0.2857142857142857,0.08929912425129423,-0.006501469166796292,0.0024146729343455103,0.0034666974744063106,0.0028726226929809318,0.004127122326578134,-0.002381773639939828,0.0028133981978071656,-0.000633924528604829
26,5.350000000000002,5.100000000000002,5.600000000000002,175,0.09128552090433116,PC1,1,0.7446748661674475,0.2857142857142857,0.09044766029429736,-0.008282136892903228,0.0032484434391222127,0.004173643897820464,0.0031161733710264486,0.004888293021622812,-0.0030213940178212984,0.003519368697540727,-0.0007621491999541295
27,5.450000000000003,5.200000000000003,5.700000000000003,169,0.09294813175532715,PC1,1,0.7220791830838839,0.2857142857142857,0.0918786742816613,-0.009415293961947485,0.0038253221222802327,0.004703571730020884,0.0032378483871927473,0.0055263715209765045,-0.003616622588881823,0.004171972393007371,-0.0008661497196046852
28,5.5500000000000025,5.3000000000000025,5.8000000000000025,162,0.09600337802703578,PC1,1,0.7152621742379548,0.2857142857142857,0.09483073100235274,-0.009906643947720225,0.004081471736620132,0.00498184623241941,0.003307849095763951,0.005920320248206553,-0.004000095758378163,0.004613870666276313,-0.0009389495999037601
29,5.650000000000002,5.400000000000002,5.900000000000002,157,0.09991929949029169,PC1,1,0.7086587356292529,0.375,0.09862782889854423,-0.010462119827784921,0.004368697551061072,0.005304572036561024,0.0033909991478614007,0.00638797043821609,-0.004458845437278666,0.005147544477467411,-0.0010267740715851769
30,5.750000000000003,5.500000000000003,6.000000000000003,152,0.10420954398087784,PC1,1,0.7078874335788811,0.375,0.10285730029009883,-0.010877494297846556,0.0045404972842652425,0.0055152467239891895,0.0035149988445970404,0.006692495643561083,-0.004714996496678073,0.005481745632520965,-0.0011069993497815464
31,5.850000000000003,5.600000000000003,6.100000000000003,146,0.10765429881430745,PC1,1,0.707424128931855,0.375,0.10625469102714717,-0.011206993733990629,0.004672997288085646,0.005683496592782787,0.003615997997095852,0.006930746072856802,-0.004915997040533511,0.0057442467560359835,-0.0011742494876179964
