window_id,lambda_center_um,lambda_start_um,lambda_end_um,num_points,E_L2,dominant_pc,dominant_sign,dominance_index,opposition_fraction,V_PC1,V_PC2,V_PC3,V_PC4,V_PC5,V_PC6,V_PC7,V_PC8,V_PC9
0,2.75,2.5,3.0,667,0.0010882132605495051,PC1,1,0.16441855393450167,0.375,0.000501240521383511,-0.00027105109525781256,0.0001873994882397872,0.0003313874089740785,0.00025997105490724494,0.0004822530915749751,-0.0004053575938489105,0.0004839798625397028,-0.0001259241078637818
1,2.85,2.6,3.1,621,0.001434561680101406,PC1,1,0.18535387043980542,0.375,0.0007408409269034157,-0.0003527608712864623,0.00023357676644613463,0.0004346247173891811,0.0003717530464191067,0.0006263725445448183,-0.0004878845820516458,0.000589118778763917,-0.00015996799355802376
2,2.95,2.7,3.2,579,0.0017144127716892102,PC1,1,0.21814340827579057,0.375,0.0010179675317242153,-0.00038636487633314336,0.00024095683350078813,0.0005005559403611438,0.0004728537502331574,0.0007253115707980995,-0.0005166248084984745,0.0006307252259318947,-0.00017514549995593847
3,3.0500000000000003,2.8000000000000003,3.3000000000000003,541,0.002232416711410273,PC1,1,0.2326759663371986,0.375,0.0013959947964006549,-0.0004889693630909236,0.0002970724912940236,0.0006448114876740474,0.000635975021528778,0.0009291574460640829,-0.0006245903866312323,0.0007659358308847749,-0.00021723100228648247
4,3.1500000000000004,2.9000000000000004,3.4000000000000004,507,0.002611284362150281,PC1,1,0.26046438507664077,0.375,0.001773558424444616,-0.0005252331939601834,0.00030498714142422384,0.0007249613888680818,0.0007585077322128912,0.0010439199258500105,-0.0006472821082301569,0.000801323493032114,-0.00022944322987910871
5,3.2500000000000004,3.0000000000000004,3.5000000000000004,476,0.0025237177691124647,PC1,1,0.28577407990656795,0.375,0.0018222213969855204,-0.00046135196914938236,0.000260827157333779,0.0006695524048697261,0.0007226367875663902,0.0009670274353124507,-0.0005698215380035242,0.0007061919044616497,-0.00019680983639886428
6,3.3500000000000005,3.1000000000000005,3.6000000000000005,448,0.0023515433253393832,PC1,1,0.33634828858381344,0.375,0.00185610316508732,-0.00030514682663064047,0.00015831707686911778,0.0005544098179476599,0.0006489636140100153,0.0008327514958239422,-0.00045350918017471114,0.0005635349284879248,-0.00014566023616130122
7,3.4500000000000006,3.2000000000000006,3.7000000000000006,422,0.0022326010361904693,PC1,1,0.3891392934999693,0.375,0.0018752443724363587,-0.0001706532769662358,7.564865991953485e-05,0.0004612029105096294,0.0005850908012169186,0.0007261573873458407,-0.0003650779811870044,0.0004542418829243302,-0.00010563677238169269
8,3.5500000000000007,3.3000000000000007,3.8000000000000007,399,0.001930268836753348,PC1,1,0.5075111484735617,0.375,0.001774856721216504,5.993342679166356e-05,-7.742593292420547e-05,0.0002621627959259228,0.0004449447092483153,0.0004782908795540816,-0.0001611651744295226,0.00020968737897232202,-2.871077999612372e-05
9,3.650000000000001,3.400000000000001,3.900000000000001,377,0.0016849119288926179,PC1,1,0.5754219526883244,0.25,0.0016040954102831946,0.0002181011834050895,-0.0001759158749589555,0.00010718677007029764,0.00030658870730973774,0.00028038453699192294,-2.5831015027420982e-05,4.194667313007261e-05,2.7635287796487453e-05
