H_first21,PC1
0.066,-0.2363023520849516
0.1,-0.2320968339011863
0.2,-0.2328527128955171
0.3,-0.23325545957786123
0.4,-0.23249916474524704
0.5,-0.23063721871685133
0.6,-0.23020690100903607
0.7000000000000001,-0.22979144135075724
0.8,-0.22950580182731384
0.9,-0.22970578740141723
1.0,-0.22922355038371925
1.1,-0.22632891077470008
1.2000000000000002,-0.2218143263151283
1.3000000000000005,-0.21579183575736172
1.4,-0.20942290875710945
1.5000000000000002,-0.20375304798389762
1.6,-0.19846981278826292
1.7000000000000002,-0.1932861009448253
1.8000000000000005,-0.18872040487432334
1.9,-0.18406149270531846
2.0,-0.17895362035397155
