file_index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
1,82.28526548152689,6.490078244441205,22.245609684174262,-7.231148476459504,-6.494043814405054,-5.477499905865103,-3.1306355063585416,7.441516861421123,4.506772451397198,-7.148864802691843,3.372585308645404,-3.5612535374796437,6.646365768191963,-1.6724633788505463,-1.0434865090472734,0.5689714038676733,0.0988129827150782,-0.9381684405381884,0.20179570047305329,0.3549180403734798,-0.042206297366425685
2,92.78200241012824,22.779354433479966,16.970653366288403,3.1041905376390355,-2.5609794209057113,-0.03979844672199334,-0.8981313310119841,-4.0670787716050585,2.7065387554713825,-0.6004462329427095,0.7138138518456969,2.253310833461448,-3.4020630755005836,-5.330917511158921,-1.2325161885826987,1.8321177131882027,-2.4190430129263474,-2.4456583723986793,0.5350629433279288,0.5481102844832602,0.047184213706659914
3,33.29347703061836,-19.29324726666463,-19.323487872303208,-2.5742638463392975,0.3057653671704776,-9.428187295866223,7.365512339461434,16.80956868347957,-6.021958885743537,6.9817968963101364,5.305981166912439,-3.4781255987791564,-0.17220523338082427,-0.22667167282988993,-3.6571777008158253,3.6896781143226973,0.446488612224882,0.9406920356978163,1.238116465225848,1.3765490749651188,-1.0230165403786105
4,-7.944285497004342,-7.817911208463246,0.5968993044478693,2.784342900615141,-0.13318137048243617,1.810333380802015,-0.6648366541753437,-2.323355199667379,0.29264969712686373,0.5013267878104154,0.13412498040560666,-0.29899853194713566,-0.0699827087524044,-0.10595815678724456,0.16977228674264727,0.1658374291976776,0.41936010319886746,0.810667172999271,-0.26456551129572486,0.15206909168233185,-0.10202382206137532
5,48.73735052956502,-23.293188633464755,21.168787564080816,4.580808979312289,11.798399393711465,-4.270713476443792,3.763395397592505,3.6922814490508085,2.007295614364691,-3.121590474116583,1.7833642944412789,0.531081334581978,0.971831061340646,-1.9470471967166993,-0.7064030945860266,-2.0381536091787704,0.3228290151723684,0.3020748559934511,-0.37111530949058336,-0.028606226223770608,0.2279720503373917
6,63.42998306539172,12.162271650405938,12.955380153930061,-20.379144258686832,-11.619498542214956,7.360931340097653,4.752302385980618,0.07349124596909591,-5.25506495459941,-4.362829378752568,1.6135917891975768,-1.100237506897649,-1.7409869127999027,1.2480009411690856,0.364533795378911,-0.16739594950727454,0.04190188676267985,0.25607985526148674,0.0770910489705357,0.436016928207236,0.08564171873119211
7,26.508992891946814,-10.960497714103042,-11.230221956139385,4.36780001980285,-2.0683516515753664,-4.260655975202308,-0.8369440960824508,0.30570781184656615,0.5467904409433597,1.0360995524330217,0.26500594744223505,1.3841419999923645,1.372185997210244,-0.08352116598329534,-0.4696090370003537,0.5130572365028022,1.284082015154064,-0.5663734629967917,-0.5362519637784966,-0.1983991923727984,-0.17927051027354507
8,110.14692415634899,42.3302904504627,-0.7504897972062714,-0.246974282537832,-3.474531802991005,7.555956653646208,-0.8435911939604303,3.7538675189984705,3.8284374314890512,4.719461462285982,-2.8543756088590433,0.6607497390876595,-3.4454731415537028,1.3098528961531328,-0.23599189351937863,-0.2120222872692785,-0.3674057607209044,-0.15008433446104635,-0.15380116001570343,0.5734328488547574,-0.19646993584703043
9,49.415096907815574,19.892893879866627,-30.806721557459912,10.929480323938238,10.552140704468709,-13.412745714391148,-8.43609901012155,-3.962335542045096,2.70200847617723,0.6930462588851228,0.31852341353513763,-2.030159085816987,-1.0368529366016561,0.33096178532221565,-0.31267407250624807,-0.2701331254267916,0.08825723270188933,-0.47434004059905505,-0.2353705327414464,-0.009719954831630276,0.08512118624471118
10,64.39784281170944,25.605065980127,2.737649957656195,-10.845015968138902,-6.223410743992433,2.1668957970760334,2.6793012526037665,1.310075362662342,1.2225511777129443,4.006744009113127,-0.1110359267921638,1.7524225061875378,1.8846425009106933,-1.860945081113326,0.18700051467177395,-0.9199461524525817,0.314736074695501,0.10321744604142304,-0.885369307776497,-0.3310981027526242,1.0084069400495905
