H_first21,PC1,PC2,PC3
0.066,-0.2363023520849516,0.20318547421350663,-0.2930956784009258
0.1,-0.2320968339011863,0.22083639743335945,-0.28679259578390515
0.2,-0.2328527128955171,0.21811492264446422,-0.2591646480975688
0.3,-0.23325545957786123,0.22238781520950607,-0.2173947033514294
0.4,-0.23249916474524704,0.2210008331667883,-0.14477162099443705
0.5,-0.23063721871685133,0.20894103365324973,-0.06074469662528453
0.6,-0.23020690100903607,0.1889021760290968,0.0507935581762662
0.7000000000000001,-0.22979144135075724,0.16251898640840098,0.1521063021785835
0.8,-0.22950580182731384,0.12521663982275216,0.22656302670649509
0.9,-0.22970578740141723,0.08452073705606737,0.26699307898434266
1.0,-0.22922355038371925,0.04673954285875108,0.29059580899869925
1.1,-0.22632891077470008,-0.006977687150139536,0.30753937229580675
1.2000000000000002,-0.2218143263151283,-0.07410249680165412,0.2822010060114579
1.3000000000000005,-0.21579183575736172,-0.13969323754803156,0.23047034327227683
1.4,-0.20942290875710945,-0.19971766800841181,0.1522102239205724
1.5000000000000002,-0.20375304798389762,-0.2580853341689353,0.07552138984154752
1.6,-0.19846981278826292,-0.30171278885256675,-0.015953657107339758
1.7000000000000002,-0.1932861009448253,-0.3179220908348746,-0.10933795708469918
1.8000000000000005,-0.18872040487432334,-0.3282826446103106,-0.19173244318789034
1.9,-0.18406149270531846,-0.32458740637937866,-0.26185131653899474
2.0,-0.17895362035397155,-0.31069915975816464,-0.2936808420780197
