file_index,PC1
1,35.06801978081263
2,38.46617835457046
3,31.036816355161786
4,10.50006887618312
5,34.38507198380859
6,39.60286504253884
7,33.776009548048734
8,33.08339344008118
9,33.600466354451996
10,27.510601411316195
11,39.18960607733288
12,35.3338251886399
13,35.728794813406374
14,30.363995409401866
15,29.41994032418346
16,24.061565586559254
17,22.480550764826503
18,28.424411327886208
19,38.470907292389796
20,37.03368147254558
21,43.933340685864096
22,49.38973948711065
23,41.403286967771606
24,-6.286601494979494
25,-4.054648814156878
26,-10.601074948970101
27,-13.047265585978025
28,20.117239077438086
29,10.355378831421893
30,14.684809664739479
31,6.691787201828494
32,0.11151273084821858
33,-0.309025556285922
34,2.5224840763369127
35,-1.1882841596527165
36,-11.67844074630372
37,-17.791758376392472
38,-16.963995827255665
39,-21.83661031997707
40,-21.443920046618825
41,-18.884986835261124
42,-20.988535689931
43,-22.053100243523442
44,-24.870551714623414
45,-27.769994686947033
46,-21.468110014943655
47,-20.538893098644213
48,-21.35950153578343
49,-22.839721154621373
50,-27.733032192013688
51,-26.5767246861322
52,-24.65479313252687
53,-20.081692491656533
54,-26.72974956768918
55,-26.716109106384067
56,-17.83291284861473
57,-15.820738814740212
58,-18.785995912071602
59,-19.28285977591583
60,-20.311831006585038
61,-24.800833613031582
62,-32.744872966423564
63,-36.5610692998623
64,-22.2652777096415
65,-26.613372226023834
66,-22.032064012965424
67,-18.80157567986045
68,-19.332542538538252
69,-14.823708604536593
70,-13.0728210726545
71,-13.635545621620224
72,-13.748050668587728
73,-17.51544854921178
74,-22.965055114638538
75,-21.05934630783022
76,-0.37496212539089985
77,0.3954447596136791
78,-9.285341816182392
79,-3.687037633757199
80,-2.6690381556894986
81,-1.4991729864010173
82,-2.1957165481693557
83,-2.749118613163726
84,-5.3703721388291585
85,-3.274856475571635
86,-11.169713793330466
87,-4.353762526771276
88,-6.528057681988972
89,10.355583606636518
90,-11.609360478976729
91,22.698564816903033
92,6.365311441058559
93,30.213476816186382
94,39.70601937486428
95,51.41099624929067
96,40.49623277011537
97,21.84136769204
98,27.638971016156873
99,63.332125087772425
100,35.783453917324046
101,34.53682508223865
102,22.052590393129655
103,29.501313890031277
104,26.64725968229107
105,20.24242144731471
106,8.215634387763195
107,42.062887378224794
108,31.648410069946863
109,5.671032295826397
110,-14.250928442955031
111,-13.871641984906384
112,-10.27383823180386
113,-20.457037308620812
114,-23.788475243026372
115,-22.46197472133681
116,-22.7171043225507
117,-15.247723627990728
118,-19.810513742346817
119,-21.885088627488702
120,-23.62251646004735
121,-24.202797664376448
122,-23.573106402803308
123,-25.969451138130882
124,-19.075356438866947
125,-31.198622563112856
126,-21.54917448530949
127,-20.192593927838633
128,-22.49161213717662
129,-26.006465154649558
130,-28.1613845517583
131,-25.189725541428675
132,-18.63236135811015
133,-19.85522555846547
134,-26.81659546214176
135,-30.177622080394894
136,-28.522157799616334
137,-22.89762188033775
138,-23.03973341720907
139,-28.879252995577062
140,-28.684420463033998
141,-20.610441389407313
142,-22.192834732677674
143,-24.325195591677122
144,-27.787033032914433
145,-15.082020316893365
146,-17.02971419766755
147,-16.893144167436056
148,-15.772910226446044
149,-18.058639288544484
150,-20.97240470054048
151,-33.758938787871465
152,-11.638150909013415
153,-12.431611549521701
154,-14.434900152142536
155,-16.743427819335935
156,13.842902005771471
157,15.339607410416555
158,5.621394059910919
159,-7.155808175093841
160,14.899782351163179
161,14.726840103087133
162,43.73755808404283
163,19.000705612881642
