H_first21,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
0.066,-0.17589946159560316,0.1880747512644647,0.17596083357264067,0.17272493003273454,-0.1625839847414403,-0.20743647765093326,0.09075251004617484,0.18944837610283446
0.1,-0.1761392709887175,0.1852351743327763,0.174874404072329,0.1729524377362877,-0.16581296861335063,-0.21496073227110107,0.11341278125007584,0.1805240048988372
0.2,-0.17577154351954238,0.18232708845659748,0.1749902099285689,0.175238495770238,-0.1556503069223934,-0.19332808684987057,0.10666649222614338,0.14151817235856165
0.3,-0.1767636449991881,0.18519265564377682,0.1788454682100249,0.17318607745363135,-0.14494022080289315,-0.16200233250607327,0.08982006964196491,0.08640883902804226
0.4,-0.1795517052864847,0.19384828863394554,0.18913837280248827,0.1634745620015197,-0.10441151839275414,-0.025176263262153217,0.005394073119124541,-0.1394633938549611
0.5,-0.18285266552322588,0.1944474332424645,0.18117551532637205,0.1077360311265219,-0.008543641161490059,0.0977100355923114,-0.09952458272201388,-0.2742968964397487
0.6,-0.18596160332235612,0.19312775750139183,0.17092773250650325,0.052337054453369225,0.10082797428184612,0.2788861052362368,-0.22568029782858373,-0.4189130429665345
0.7000000000000001,-0.18454210401089113,0.18068395516316632,0.13635050407265228,0.0008258582501137895,0.16633007022715793,0.24785639868765508,-0.17028827900903723,-0.1677519690452314
0.8,-0.18646012720731311,0.16464269925939126,0.08998161842556657,-0.08709670983046411,0.23439708757680042,0.2582659952359937,-0.1308955212346753,0.07745123826013998
0.9,-0.1877100272035247,0.156809560452252,0.03182126406047289,-0.1809985536342893,0.3016492929146288,0.15085137570231344,-0.06087093212213539,0.31701809765130223
1.0,-0.19009574795478776,0.14772265931353387,-0.013647092419822138,-0.24173869821773955,0.3087925480010445,0.0312750337995496,0.08639512791197182,0.37231250220183915
1.1,-0.19855545864567525,0.14238436169245836,-0.08768846850286664,-0.36016446295608084,0.21373231274721272,-0.17355999543204081,0.24992361013482922,0.04966980275446016
1.2000000000000002,-0.21455607048352326,0.12817000673060466,-0.19444234305412733,-0.40865476471296824,-0.028353512910397935,-0.29356407171254695,0.1992871368205585,-0.2943655592513868
1.3000000000000005,-0.22644612341788145,0.11096458779082682,-0.30551598438750666,-0.2757935021600295,-0.32411256386942044,-0.17773561511536512,-0.14368924026636815,-0.30316102815074936
1.4,-0.24304902608674456,0.05065835711608961,-0.36806847037521917,-0.02083692365651749,-0.392926141876518,0.2070731560254164,-0.3024436621782342,0.21100215680154769
1.5000000000000002,-0.26099129535577137,-0.04211719318835112,-0.38306508038590703,0.19280644376828424,-0.15351966328583289,0.2866683923615611,-0.03177422708411773,0.25666476438786634
1.6,-0.26924306617606,-0.13460755507922872,-0.31918629655707015,0.3724346580636346,0.15325683541921356,0.12845963169690428,0.38794675504772747,-0.12627429377669847
1.7000000000000002,-0.2732225919536335,-0.2413778454508802,-0.16816901343199792,0.30308802058805373,0.3528696332579631,-0.14869707768431817,0.15951534173552398,-0.21101001506888867
1.8000000000000005,-0.27644720544829016,-0.36655136287983153,0.04915516537802141,0.07777501709514467,0.21453425482274988,-0.41895688671725956,-0.49411111210468056,0.08403229435954845
1.9,-0.27535019485409046,-0.4335971499217466,0.2563913551118171,-0.1564739758901587,-0.09770223151939672,-0.05118855746730588,-0.21053433764398743,0.037411128639626944
2.0,-0.26857803266287283,-0.4379759498906881,0.36164133348534466,-0.26116309679146127,-0.2787024153303338,0.3429369680128847,0.4019518737602523,-0.01543135560550028
