lambda_um,DeltaI_W_m2_sr_um
2.5,-1.5679999999999687e-05
2.5006251562890722,-1.7111441070000177e-05
2.5012506253126565,-1.1988002999999657e-05
2.501876407305479,-1.93309708899996e-05
2.5025025025025025,-2.475042480000033e-05
2.5031289111389237,-3.511205500000055e-05
2.5037556334501754,-2.5682777959999334e-05
2.504382669671926,-2.7583204769999863e-05
2.50501002004008,-2.4700899199999946e-05
2.5056376847907793,-3.440465495999946e-05
2.506265664160401,-3.4546616999999585e-05
2.5068939583855605,-2.2595211820000162e-05
2.507522567703109,-1.4313729599999946e-05
2.508151492350138,-1.4624475479999965e-05
2.5087807325639737,-2.796322496000092e-05
2.5094102885821834,-2.985482300000078e-05
2.5100401606425704,-2.0951377919999938e-05
2.5106703489831785,-3.426686424000142e-05
2.5113008538422905,-3.551816576000122e-05
2.5119316754584275,-3.137975477999957e-05
2.512562814070352,-3.29480320000004e-05
2.5131942699170646,-2.913169144000069e-05
2.513826043237808,-2.0730074040000747e-05
2.5144581342720644,-2.973507451999903e-05
2.515090543259557,-3.746632512000112e-05
2.5157232704402515,-3.744748125000027e-05
2.5163563160543534,-3.7586568879998707e-05
2.5169896803423106,-3.740980773000047e-05
2.5176233635448138,-3.8022049439998505e-05
2.5182573659027954,-3.327225450999987e-05
2.5188916876574305,-3.309789000000094e-05
2.5195263290501386,-3.812216562000016e-05
2.5201612903225805,-3.290710015999877e-05
2.5207965717166623,-2.659568040999996e-05
2.5214321734745337,-2.5795815839999188e-05
2.5220680958385877,-3.5687180750001296e-05
2.522704339051463,-3.582631488000063e-05
2.5233409033560434,-3.3295382280000216e-05
2.523977788995457,-3.9400584440000067e-05
2.5246149962130775,-3.7654850399999364e-05
2.525252525252525,-3.779265599999915e-05
2.525890376357666,-3.761683440000035e-05
2.526528549772612,-3.9477725280000556e-05
2.5271670457417237,-4.008409343999979e-05
2.5278058645096055,-3.80293444799994e-05
2.5284450063211126,-3.8948642250000165e-05
2.5290844714213456,-3.8303584199999956e-05
2.5297242600556538,-4.078440548999952e-05
2.5303643724696356,-4.029522432000016e-05
2.531004808909137,-4.089925062000094e-05
2.5316455696202533,-4.0722524999999184e-05
2.532286654849329,-4.148163865999935e-05
2.5329280648429586,-4.130476559999988e-05
2.533569799847986,-4.1439631940000214e-05
2.534211860111505,-3.939441747999924e-05
2.534854245880862,-4.0930755749998826e-05
2.535496957403651,-4.1998867199999866e-05
2.53613999492772,-4.1666627319999865e-05
2.536783358701167,-4.226707008000031e-05
2.537427048972342,-4.193499869999985e-05
2.5380710659898478,-4.0982303999998956e-05
2.538715410002539,-4.2357918330000396e-05
2.5393600812595225,-4.264657099999937e-05
2.54000508001016,-3.9369921259999746e-05
2.540650406504065,-4.0899133439999125e-05
2.5412960609911055,-4.320098775000003e-05
2.541942043721403,-4.333379679999881e-05
2.5425883549453343,-4.3621138980000015e-05
2.5432349949135302,-4.313514095999945e-05
2.543881963876876,-4.388584123999912e-05
2.544529262086514,-4.401796500000041e-05
2.5451768897938405,-4.4149937260000785e-05
2.545824847250509,-4.428175808e-05
2.5464731347084286,-4.395078764999911e-05
2.547121752419766,-4.469908040000137e-05
2.5477707006369426,-4.4060087499998846e-05
2.5484199796126403,-4.4037639359999214e-05
