lambda_um,DeltaI_W_m2_sr_um
2.5,-5.440000000000219e-06
2.5006251562890722,-6.556720410000327e-06
2.5012506253126565,-2.397600599999758e-06
2.501876407305479,-7.668484320000075e-06
2.5025025025025025,-1.181633184000122e-05
2.5031289111389237,-2.4099637750000028e-05
2.5037556334501754,-1.2283067719999832e-05
2.504382669671926,-1.4827965569999199e-05
2.50501002004008,-1.0995884160000177e-05
2.5056376847907793,-2.2617875019999983e-05
2.506265664160401,-2.2606542000000104e-05
2.5068939583855605,-9.865515019999264e-06
2.507522567703109,-3.4989116799999387e-06
2.508151492350138,-3.6561188700000996e-06
2.5087807325639737,-1.4776022280000092e-05
2.5094102885821834,-1.6833038500000015e-05
2.5100401606425704,-7.777405440000627e-06
2.5106703489831785,-2.1734075930001685e-05
2.5113008538422905,-2.346735952000068e-05
2.5119316754584275,-1.8067131539999462e-05
2.512562814070352,-1.9800499999999242e-05
2.5131942699170646,-1.5357467769999515e-05
2.513826043237808,-7.279262639999819e-06
2.5144581342720644,-1.581652900000015e-05
2.515090543259557,-2.560989312000092e-05
2.5157232704402515,-2.5597012500000633e-05
2.5163563160543534,-2.5742061879998994e-05
2.5169896803423106,-2.5255566400000755e-05
2.5176233635448138,-2.6031693600000495e-05
2.5182573659027954,-1.9080297609999457e-05
2.5188916876574305,-1.8755471000000794e-05
2.5195263290501386,-2.5992385649999637e-05
2.5201612903225805,-1.8579128319999062e-05
2.5207965717166623,-1.1802816749999223e-05
2.5214321734745337,-1.0853117639999209e-05
2.5220680958385877,-2.2009715000000964e-05
2.522704339051463,-2.199861440000013e-05
2.5233409033560434,-1.8375281730000602e-05
2.523977788995457,-2.762750144000032e-05
2.5246149962130775,-2.4004967129999562e-05
2.525252525252525,-2.446329599999856e-05
2.525890376357666,-2.366725831000078e-05
2.526528549772612,-2.6631798800000155e-05
2.5271670457417237,-2.755781424000018e-05
2.5278058645096055,-2.3944402079998338e-05
2.5284450063211126,-2.5496500750001212e-05
2.5290844714213456,-2.4389220959999958e-05
2.5297242600556538,-2.8595962470000583e-05
2.5303643724696356,-2.701966592000022e-05
2.531004808909137,-2.8098721799999817e-05
2.5316455696202533,-2.8864624999999644e-05
2.532286654849329,-2.8694065840000234e-05
2.5329280648429586,-2.9147136479999378e-05
2.533569799847986,-2.8820796650000022e-05
2.534211860111505,-2.49134655999992e-05
2.534854245880862,-2.7235293749999605e-05
2.535496957403651,-2.9243655680000723e-05
2.53613999492772,-2.9539773100000118e-05
2.536783358701167,-2.9524791599999482e-05
2.537427048972342,-2.842261023000038e-05
2.5380710659898478,-2.6545355999998792e-05
2.538715410002539,-2.885924106000009e-05
2.5393600812595225,-2.9309825160000157e-05
2.54000508001016,-2.417995164000035e-05
2.540650406504065,-2.6181642240000018e-05
2.5412960609911055,-2.9729711999999797e-05
2.541942043721403,-3.0333657759997953e-05
2.5425883549453343,-3.0627608219998756e-05
2.5432349949135302,-3.061203551999944e-05
2.543881963876876,-3.0905521999999123e-05
2.544529262086514,-3.104424900000121e-05
2.5451768897938405,-3.102845240999987e-05
2.545824847250509,-3.07040761600005e-05
2.5464731347084286,-2.9763164969998958e-05
2.547121752419766,-3.128935628000061e-05
2.5477707006369426,-3.142747499999994e-05
2.5484199796126403,-3.141146303999986e-05
2.549069589599796,-3.170325373999961e-05
2.5497195308516063,-3.091798884000043e-05
2.550369803621525,-3.182467886999989e-05
2.5510204081632653,-3.196211200000038e-05
2.551671344730799,-3.209939248999868e-05
2.5523226135783563,-3.223652040000059e-05
2.552974214960429,-3.20666380100006e-05
2.5536261491317673,-3.235696816000083e-05
2.554278416347382,-3.142081124999849e-05
2.5549310168625445,-3.171114971999879e-05
2.555583950932788,-3.1694947830000764e-05
2.556237218813906,-3.0301413119999954e-05
2.5568908207619536,-3.089776042000062e-05
2.557544757033248,-3.195212899999907e-05
2.5581990278843696,-3.2088590099999675e-05
2.5588536335721597,-3.268307295999952e-05
2.5595085743537243,-3.35822278000001e-05
2.5601638504864312,-3.325990247999861e-05
2.560819462227913,-3.3242874500001227e-05
2.5614754098360657,-3.3225850879998846e-05
2.5621316935690492,-3.3665833890000885e-05
2.5627883136852896,-3.349632880000116e-05
2.5634452704434763,-3.408787423999932e-05
2.5641025641025643,-3.4070399999999897e-05
2.564760194921775,-3.3900908230001525e-05
2.565418163160595,-3.418740900000029e-05
2.5660764690787787,-3.477733461000089e-05
2.566735112936345,-3.460770047999939e-05
2.5673940949935816,-3.489335750000034e-05
2.568053415511043,-3.487544280000084e-05
2.5687130747495504,-3.500908718999992e-05
2.5693730729701953,-3.4839627199998585e-05
2.570033410434336,-3.467032749000093e-05
2.570694087403599,-3.556043500000088e-05
2.5713551041398817,-3.569339756000038e-05
2.57201646090535,-3.58262092799988e-05
2.572678157962439,-3.580778252999968e-05
2.573340195573855,-3.5336330640001017e-05
2.574002574002574,-3.577094325000075e-05
2.5746652935118433,-3.605423984000093e-05
2.5753283543651815,-3.6035676709999034e-05
2.575991756826378,-3.631851684000008e-05
2.576655501159495,-3.599856478999925e-05
2.577319587628866,-3.598001599999876e-05
2.577984016499098,-3.6864270449996767e-05
2.5786487880350695,-3.699565463999993e-05
2.5793139025019345,-3.712688862999962e-05
2.579979360165119,-3.725797248000078e-05
2.5806451612903225,-3.708859375000078e-05
2.581311306143521,-3.676929619999842e-05
2.581977794990963,-3.7350321209998934e-05
2.5826446280991737,-3.763088384000062e-05
2.5833118057349522,-3.7311756090000446e-05
2.5839793281653747,-3.699294300000058e-05
2.5846471956577926,-3.72732108899999e-05
2.5853154084798344,-3.815163120000041e-05
2.585983966899405,-3.84309807299997e-05
2.586652871184687,-3.796272824000118e-05
2.5873221216041395,-3.779370925000112e-05
2.587991718426501,-3.8072764800000346e-05
2.588661661920787,-3.8500744019999596e-05
2.589331952356292,-3.818251263999848e-05
2.59000259000259,-3.890810780999947e-05
2.5906735751295336,-3.933494399999994e-05
2.591344908007256,-3.931456584000022e-05
2.592016588906169,-3.929419296000089e-05
2.5926886180969664,-3.8976296380000865e-05
2.5933609958506225,-3.925346303999908e-05
2.594033722438392,-3.908449575000094e-05
2.5947067981318113,-3.9064221079999906e-05
2.595380223202699,-3.91924077599989e-05
2.596053997923157,-3.932044560000115e-05
2.596728122565567,-3.974493867999959e-05
2.5974025974025974,-4.0020750000001326e-05
2.5980774227071968,-4.029625872000071e-05
2.598752598752599,-4.086760703999985e-05
2.599428125812321,-4.114235701999959e-05
2.6001040041601664,-4.097305331999916e-05
2.600780234070221,-4.0951749249999725e-05
2.6014568158168574,-4.0634923999997505e-05
2.602133749674733,-4.120453071000327e-05
2.6028110359187924,-4.133069920000086e-05
2.6034886748242645,-4.101412118000074e-05
2.6041666666666665,-4.114022400000111e-05
2.6048450117218027,-4.1266178799998984e-05
2.6055237102657633,-4.124468319999762e-05
2.6062027625749282,-4.151764458000008e-05
2.6068821689259645,-4.1937453600000146e-05
2.607561929595828,-4.162144675000021e-05
2.6082420448617634,-4.2334721279999044e-05
2.6089225150013045,-4.275339698999944e-05
2.6096033402922756,-4.229056511999979e-05
2.6102845210127903,-4.2708792509999274e-05
2.6109660574412534,-4.3419944000000835e-05
2.6116479498563594,-4.3397273359998406e-05
2.6123301985370952,-4.3228072799999726e-05
2.6130128037627385,-4.305903126000134e-05
2.6136957658128592,-4.347567971999845e-05
2.6143790849673203,-4.38918750000003e-05
2.6150627615062763,-4.372269824000005e-05
2.615746795710175,-4.369983371000155e-05
2.6164311878597593,-4.367697515999906e-05
2.617115938236064,-4.3508122179999886e-05
2.6178010471204187,-4.392312400000077e-05
2.6184865147944487,-4.4337673440001876e-05
2.6191723415400734,-4.4605999439999156e-05
2.6198585276395074,-4.4436941449999684e-05
2.620545073375262,-4.426804223999978e-05
2.6212319790301444,-4.48270129999994e-05
2.6219192448872577,-4.553084548000047e-05
2.6226068712300026,-4.579775235000194e-05
2.6232948583420774,-4.6064360480001926e-05
2.623983206507478,-4.618543278000174e-05
2.6246719160104988,-4.6451519999999094e-05
2.625360987135731,-4.6427139199998677e-05
2.6260504201680672,-4.5822730239999596e-05
2.6267402153926978,-4.550880186000167e-05
2.627430373095113,-4.6209178839998546e-05
2.628120893561104,-4.690880099999899e-05
2.6288117770767614,-4.68841478400029e-05
2.6295030239284776,-4.642561689000187e-05
2.6301946344029457,-4.654575687999818e-05
2.6308866087871614,-4.6521275220000324e-05
2.6315789473684212,-4.707440000000125e-05
2.632271650434325,-4.7626923300000956e-05
2.6329647182727753,-4.760185319999978e-05
2.6336581511719777,-4.75767897000004e-05
2.6343519494204424,-4.769582896000171e-05
2.635046113306983,-4.85348242499975e-05
2.635740643120717,-4.8653193680000054e-05
2.636435539151068,-4.862754961999782e-05
2.6371308016877637,-4.845811967999977e-05
2.637826431020839,-4.828884816000106e-05
2.638522427440633,-4.883793999999747e-05
2.6392187912377936,-4.909930182000338e-05
2.6399155227032733,-4.907338847999834e-05
2.6406126221283337,-4.976455042999747e-05
2.641310089804543,-4.988161008000376e-05
2.642007926023778,-4.9568738499998835e-05
2.6427061310782243,-5.0401669120002726e-05
2.6434047052603753,-5.023192238999899e-05
2.6441036488630356,-5.063447496000094e-05
2.6448029621793174,-5.0893621159999944e-05
2.6455026455026456,-5.043805199999793e-05
2.646202699126753,-5.055417713999838e-05
2.6469031233456857,-5.124108955999879e-05
2.6476039184537994,-5.135662439999765e-05
2.6483050847457625,-5.118685183999952e-05
2.6490066225165565,-5.1159743750001097e-05
2.649708532061473,-5.1702365879998866e-05
2.6504108136761197,-5.2102036140000765e-05
2.651113467656416,-5.235898112000009e-05
2.6518164942985947,-5.233122287999839e-05
2.6525198938992043,-5.145069800000131e-05
2.6532236667551072,-5.227572848000121e-05
2.653927813163482,-5.3099861759999326e-05
2.654632333421821,-5.3071680860000345e-05
2.655337227827934,-5.247619720000381e-05
2.6560424966799467,-5.3015341499998425e-05
2.656748140276302,-5.369556784000015e-05
2.6574541589157588,-5.3950243890000735e-05
2.658160552897395,-5.406310007999987e-05
2.658867322520606,-5.417581342999876e-05
2.6595744680851063,-5.344012800000131e-05
2.6602819898909282,-5.383560861000128e-05
2.660989888238425,-5.437187140000001e-05
2.6616981634282673,-5.420178815999932e-05
2.6624068157614484,-5.459616432000082e-05
2.663115845539281,-5.484909725000063e-05
2.6638252530633992,-5.467896207999971e-05
2.664535038635758,-5.450898483000052e-05
2.6652452025586353,-5.447994048000254e-05
2.6659557451346307,-5.501370390999932e-05
2.6666666666666665,-5.498437500000078e-05
2.667377967457989,-5.5095603920002345e-05
2.6680896478121663,-5.5487640799999766e-05
2.6688017080330932,-5.587923582000241e-05
2.6695141484249865,-5.5849413680000154e-05
2.67022696929239,-5.581959949999861e-05
2.6709401709401708,-5.592996864000124e-05
2.671653753673524,-5.674069844999706e-05
2.672367717797969,-5.699043547999737e-05
2.6730820636193533,-5.682002886000029e-05
2.6737967914438503,-5.7489035999998966e-05
2.674511901577962,-5.745829730999935e-05
2.675227394328518,-5.7427566839997335e-05
2.675943270002676,-5.753649628000013e-05
2.6766595289079227,-5.764528447999885e-05
2.677376171352075,-5.76144292500011e-05
2.678093197643278,-5.814129252000068e-05
2.678810608090008,-5.8388860909999035e-05
2.679528403001072,-5.8218304320001996e-05
2.6802465826856072,-5.8883127029998525e-05
2.680965147453083,-5.9408083000001347e-05
2.681684097613301,-6.007150511999973e-05
2.6824034334763946,-5.99003110400044e-05
2.6831231553528307,-5.972927470000028e-05
2.6838432635534084,-5.9836057559999045e-05
2.684563758389262,-6.022021249999995e-05
2.6852846401718584,-6.0603929120000774e-05
2.686005909213,-6.043277843999911e-05
2.6867275658248255,-6.053885108000048e-05
2.6874496103198067,-6.161399244999921e-05
2.6881720430107525,-6.144249600000158e-05
2.6888948642108095,-6.127115722999975e-05
2.6896180742334588,-6.234409323999969e-05
2.690341673392521,-6.244872227999937e-05
2.6910656620021527,-6.269129823999707e-05
2.6917900403768504,-6.265756149999996e-05
2.6925148088314486,-6.289970975999898e-05
