lambda_um,DeltaI_W_m2_sr_um
2.5,0.00061136
2.5006251562890722,0.0006158519585100003
2.5012506253126565,0.000621777755600001
2.501876407305479,0.0006102835438000012
2.5025025025025025,0.0005972037983999999
2.5031289111389237,0.00057376289875
2.5037556334501754,0.0005997965535999997
2.504382669671926,0.0005998151233800007
2.50501002004008,0.0006101918905599994
2.5056376847907793,0.0005879054697099997
2.506265664160401,0.0005922277199999996
2.5068939583855605,0.0006274149310300002
2.507522567703109,0.0006476167436799997
2.508151492350138,0.0006469740783000004
2.5087807325639737,0.0006156675950000001
2.5094102885821834,0.0006126590804999997
2.5100401606425704,0.0006296523955200009
2.5106703489831785,0.000604270768009999
2.5113008538422905,0.0006039673811599998
2.5119316754584275,0.0006193539478800006
2.512562814070352,0.0006185676200000005
2.5131942699170646,0.000628231258879999
2.513826043237808,0.0006470631507600006
2.5144581342720644,0.00063218666413
2.515090543259557,0.0006124242342399992
2.5157232704402515,0.0006144863062500002
2.5163563160543534,0.0006151247302000002
2.5169896803423106,0.00062097123886
2.5176233635448138,0.0006187654684799999
2.5182573659027954,0.000642580270749999
2.5188916876574305,0.0006460392909999986
2.5195263290501386,0.0006277554958500006
2.5201612903225805,0.0006474353868800003
2.5207965717166623,0.0006593840291
2.5214321734745337,0.0006631412169600011
2.5220680958385877,0.0006485005312499986
2.522704339051463,0.0006517875180799999
2.5233409033560434,0.0006630806791799995
2.523977788995457,0.0006343337120400007
2.5246149962130775,0.0006559788730100009
2.525252525252525,0.0006550204320000001
2.525890376357666,0.0006650342848299982
2.526528549772612,0.00065310570116
2.5271670457417237,0.0006505836259499999
2.5278058645096055,0.000670599757600001
2.5284450063211126,0.0006638475409999995
2.5290844714213456,0.0006703908940800009
2.5297242600556538,0.0006541131087400001
2.5303643724696356,0.0006672139468799996
2.531004808909137,0.0006637542505200005
2.5316455696202533,0.000656397175000001
2.532286654849329,0.0006652656786600005
2.5329280648429586,0.0006627466540800007
2.533569799847986,0.0006700445750899998
2.534211860111505,0.00069415143528
