lambda_um,DeltaI_W_m2_sr_um
2.5,1.3439999999999112e-05
2.5006251562890722,1.4872560929999473e-05
2.5012506253126565,9.910082479999954e-06
2.501876407305479,1.7733369990000254e-05
2.5025025025025025,2.283426287999924e-05
2.5031289111389237,3.0004846999998926e-05
2.5037556334501754,2.3768533640000644e-05
2.504382669671926,2.5032156930000597e-05
2.50501002004008,2.3107292799999166e-05
2.5056376847907793,2.9785511470000088e-05
2.506265664160401,2.992978800000004e-05
2.5068939583855605,2.0844878509999887e-05
2.507522567703109,1.2246190880000219e-05
2.508151492350138,1.271693520000063e-05
2.5087807325639737,2.5262231639998703e-05
2.5094102885821834,2.683758025e-05
2.5100401606425704,1.984032000000059e-05
2.5106703489831785,2.9983506209999185e-05
2.5113008538422905,3.0761268560000436e-05
2.5119316754584275,2.8210082579999997e-05
2.512562814070352,2.9304739999999607e-05
2.5131942699170646,2.644017647000004e-05
2.513826043237808,1.9464115320000364e-05
2.5144581342720644,2.68880993000006e-05
2.515090543259557,3.193332351999947e-05
2.5157232704402515,3.207526875000002e-05
2.5163563160543534,3.22170590400005e-05
2.5169896803423106,3.204299986999965e-05
2.5176233635448138,3.25001750399994e-05
2.5182573659027954,2.980310949000052e-05
2.5188916876574305,2.947288300000038e-05
2.5195263290501386,3.260862927000063e-05
2.5201612903225805,2.9443194880000682e-05
2.5207965717166623,2.4864600620001093e-05
2.5214321734745337,2.422290024000056e-05
2.5220680958385877,3.1285237749999195e-05
2.522704339051463,3.158372496000084e-05
2.5233409033560434,2.999725478999935e-05
2.523977788995457,3.3121606840000664e-05
2.5246149962130775,3.279109889000025e-05
2.525252525252525,3.2931360000001964e-05
2.525890376357666,3.291473009999976e-05
2.526528549772612,3.383805023999924e-05
2.5271670457417237,3.39775323300014e-05
2.5278058645096055,3.302136495999999e-05
2.5284450063211126,3.363035374999955e-05
2.5290844714213456,3.3300667079998875e-05
2.5297242600556538,3.4377659799999724e-05
2.5303643724696356,3.4672634879999616e-05
2.531004808909137,3.496729823999987e-05
2.5316455696202533,3.37014000000007e-05
2.532286654849329,3.5711636290000626e-05
2.5329280648429586,3.475834991999941e-05
2.533569799847986,3.520810834000028e-05
2.534211860111505,3.441172436000062e-05
2.534854245880862,3.5483697000000466e-05
2.535496957403651,3.562126143999943e-05
2.53613999492772,3.451489278000035e-05
2.536783358701167,3.589593084000076e-05
2.537427048972342,3.603303592000003e-05
2.5380710659898478,3.539380800000099e-05
2.538715410002539,3.630678713999972e-05
2.5393600812595225,3.6443433399999635e-05
2.54000508001016,3.440993117999856e-05
2.540650406504065,3.5631820799999527e-05
2.5412960609911055,3.7007297749999495e-05
2.541942043721403,3.683372728000012e-05
2.5425883549453343,3.6969688710001766e-05
2.5432349949135302,3.571404143999993e-05
2.543881963876876,3.708662639999999e-05
2.544529262086514,3.70677599999987e-05
2.5451768897938405,3.720326880999984e-05
2.545824847250509,3.795579263999975e-05
2.5464731347084286,3.809068263000044e-05
2.547121752419766,3.807128571999951e-05
2.5477707006369426,3.620321875000016e-05
2.5484199796126403,3.63387513600006e-05
2.549069589599796,3.832092321000031e-05
2.5497195308516063,3.876285168000031e-05
2.550369803621525,3.874308731999926e-05
2.5510204081632653,3.6725696000000294e-05
2.551671344730799,3.931791616000081e-05
2.5523226135783563,3.868382448000019e-05
2.552974214960429,3.7129791380000055e-05
2.5536261491317673,3.864434112000031e-05
2.554278416347382,3.9697512749999574e-05
2.5549310168625445,3.9830429600000786e-05
2.555583950932788,3.981007939999996e-05
2.556237218813906,3.9330622080000106e-05
2.5568908207619536,3.976939459999964e-05
2.557544757033248,4.0207703000000664e-05
2.5581990278843696,4.064554745999982e-05
2.5588536335721597,4.0777478879999544e-05
2.5595085743537243,4.045131984999929e-05
