bin_left,bin_right,bin_center,count,density
-49.551598309467785,-39.06034533052204,-44.30597181999491,50,0.005366976320112001
-39.06034533052204,-28.569092351576288,-33.814718841049164,231,0.02479543059891743
-28.569092351576288,-18.07783937263054,-23.32346586210341,112,0.01202202695705088
-18.07783937263054,-7.58658639368479,-12.832212883157665,73,0.00783578542736352
-7.58658639368479,2.904666585260962,-2.340959904211914,74,0.007943124953765757
2.904666585260962,13.395919564206707,8.150293074733835,65,0.006977069216145602
13.395919564206707,23.887172543152452,18.64154605367958,87,0.009338538796994882
23.887172543152452,34.378425522098205,29.13279903262533,44,0.004722939161698558
34.378425522098205,44.86967850104396,39.62405201157108,37,0.003971562476882878
44.86967850104396,55.36093147998971,50.11530499051683,31,0.0033275253184694383
55.36093147998971,65.85218445893545,60.606557969462585,20,0.0021467905280448006
65.85218445893545,76.34343743788119,71.09781094840832,15,0.0016100928960336015
76.34343743788119,86.83469041682696,81.58906392735408,10,0.0010733952640223981
86.83469041682696,97.3259433957727,92.08031690629983,16,0.0017174324224358416
97.3259433957727,107.81719637471846,102.57156988524558,5,0.0005366976320111991
107.81719637471846,118.3084493536642,113.06282286419133,5,0.0005366976320112005
118.3084493536642,128.79970233260994,123.55407584313707,6,0.0006440371584134406
128.79970233260994,139.2909553115557,134.0453288220828,3,0.0003220185792067194
139.2909553115557,149.78220829050144,144.53658180102858,2,0.0002146790528044802
149.78220829050144,160.27346126944718,155.0278347799743,2,0.0002146790528044802
