H,T_rep,Td_rep,T_plus,T_minus,Td_plus_theoretical,Td_minus_theoretical,Td_plus_effective,Td_minus_effective,delta_c,w_T_norm,w_Td_norm
0.066,296.54999999999995,289.15,296.45163264516094,296.64836735483897,289.11048308892225,289.1895169110777,289.11048308892225,289.1895169110777,0.0813556119042466,3.653734009149614,6.318386820659984
0.1,297.15,288.11,297.06402937541776,297.2359706245822,288.060029365535,288.159970634465,288.060029365535,288.159970634465,0.0813556119042466,3.653734009149614,6.318386820659984
0.2,296.29166666666663,287.85,296.21984607701336,296.3634872563199,287.81406948691256,287.8859305130875,287.81406948691256,287.8859305130875,0.0813556119042466,3.653734009149614,6.318386820659984
0.3,295.38,287.65,295.32296173053027,295.4370382694697,287.59806461912206,287.7019353808779,287.59806461912206,287.7019353808779,0.0813556119042466,3.653734009149614,6.318386820659984
0.4,294.52,287.35,294.48793285998534,294.5520671400146,287.2672992990338,287.4327007009662,287.2672992990338,287.4327007009662,0.0813556119042466,3.653734009149614,6.318386820659984
0.5,293.54999999999995,287.15,293.537056695534,293.56294330446593,287.08246994850924,287.2175300514907,287.08246994850924,287.2175300514907,0.0813556119042466,3.653734009149614,6.318386820659984
0.6,293.5045454545454,287.72272727272724,293.52103021455645,293.48806069453434,287.67496617939855,287.77048836605593,287.67496617939855,287.77048836605593,0.0813556119042466,3.653734009149614,6.318386820659984
0.7000000000000001,293.51,287.5199999999999,293.5434442733522,293.4765557266478,287.5447599429944,287.49524005700545,287.5447599429944,287.49524005700545,0.0813556119042466,3.653734009149614,6.318386820659984
0.8,293.16,287.16,293.2058076790445,293.11419232095557,287.2522813974845,287.0677186025155,287.2522813974845,287.0677186025155,0.0813556119042466,3.653734009149614,6.318386820659984
0.9,292.75,286.5799999999999,292.7981277218837,292.7018722781163,286.7395695580211,286.42043044197874,286.7395695580211,286.42043044197874,0.0813556119042466,3.653734009149614,6.318386820659984
1.0,292.15,287.34090909090907,292.20644115496,292.09355884504,287.5251405775913,287.15667760422684,287.5251405775913,287.15667760422684,0.0813556119042466,3.653734009149614,6.318386820659984
1.1,291.69545454545454,286.2954545454545,291.7651710761328,291.6257380147763,286.42192608321795,286.16898300769105,286.42192608321795,286.16898300769105,0.0813556119042466,3.653734009149614,6.318386820659984
1.2000000000000002,291.18333333333334,285.5666666666666,291.274776338324,291.0918903283427,285.55190198503146,285.58143134830175,285.55190198503146,285.58143134830175,0.0813556119042466,3.653734009149614,6.318386820659984
1.3000000000000005,290.75,284.45,290.8578196957081,290.6421803042919,284.29870714267935,284.60129285732063,284.29870714267935,284.60129285732063,0.0813556119042466,3.653734009149614,6.318386820659984
1.4,290.25,281.51,290.3452216815181,290.1547783184819,281.33491244135854,281.68508755864144,281.33491244135854,281.68508755864144,0.0813556119042466,3.653734009149614,6.318386820659984
1.5000000000000002,289.95,280.1730769230769,290.01056990561796,289.889430094382,280.11102124315744,280.2351326029964,280.11102124315744,280.2351326029964,0.0813556119042466,3.653734009149614,6.318386820659984
1.6,289.38,278.78,289.39543170608505,289.36456829391494,278.86581511164474,278.6941848883552,278.86581511164474,278.6941848883552,0.0813556119042466,3.653734009149614,6.318386820659984
1.7000000000000002,288.75,278.7409090909091,288.7235239771849,288.7764760228151,278.91295337011087,278.56886481170733,278.91295337011087,278.56886481170733,0.0813556119042466,3.653734009149614,6.318386820659984
1.8000000000000005,288.15,279.25,288.09745436125155,288.2025456387484,279.3045812498783,279.1954187501217,279.3045812498783,279.1954187501217,0.0813556119042466,3.653734009149614,6.318386820659984
1.9,287.3136363636363,279.15,287.24336766623895,287.38390506103366,279.0438414272013,279.25615857279865,279.0438414272013,279.25615857279865,0.0813556119042466,3.653734009149614,6.318386820659984
2.0,286.95,277.9136363636364,286.86954749254335,287.03045250745663,277.69193495110216,278.1353377761706,277.69193495110216,278.1353377761706,0.0813556119042466,3.653734009149614,6.318386820659984
