PC,recommended_rule,recommended_bins,delta_c
PC1,FD,20,10.491252978945749
PC2,FD,48,2.1663919555806443
PC3,FD,73,1.3579094782992271
PC4,FD,95,0.8177776604863015
PC5,FD,86,0.5658403474330133
PC6,FD,87,0.4741867908926069
PC7,FD,77,0.3738119187182884
PC8,FD,82,0.3462580474373473
