,explained_variance_ratio
PC1,0.8370676517427129
PC2,0.0837000573315008
PC3,0.0378416840052985
PC4,0.0158668910969942
PC5,0.0074872086715854
PC6,0.0045843733249814
PC7,0.0033023793105171
PC8,0.0026357009702761
