PC,delta_c
PC1,10.491252978945749
PC2,2.1663919555806443
PC3,1.3579094782992271
PC4,0.8177776604863015
PC5,0.5658403474330133
PC6,0.4741867908926069
PC7,0.3738119187182884
PC8,0.3462580474373473
