H,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
0.066,290.9954057504598,288.74255637181284,288.91106111628227,289.00874941081014,289.24199657841314,289.2483636376513,289.11607563009113,289.0844019752004
0.1,289.95792165146975,287.7087080084349,287.8725363891983,287.9685633600926,288.2038236677691,288.2119315398036,288.0676049506337,288.04749211054815
0.2,289.6940637295633,287.4550080622832,287.61237913532847,287.7066938729019,287.93807322374704,287.9416736250928,287.810126793878,287.80099819396224
0.3,289.50447211716704,287.2488001205807,287.40714404356675,287.50837229475115,287.7320130248961,287.7268193661682,287.6164241874277,287.6200802441168
0.4,289.23372236296166,286.9300486269004,287.09316721086145,287.2163141551374,287.4090802498434,287.36193825148297,287.34798363117767,287.39829032244523
0.5,289.0683535718787,286.7287506448402,286.9039800505025,287.06189588051524,287.15483433688314,287.10366719178444,287.1872034752269,287.2449775077793
0.6,289.67369749755244,287.3043368524769,287.49062288465245,287.67992719877964,287.66567473672865,287.59048316546074,287.8070892578755,287.86777928503085
0.7000000000000001,289.45607789844513,287.12856773303196,287.3348483581488,287.51932463157226,287.42588373527406,287.40246976970406,287.58365578831155,287.5780854692553
0.8,289.11620036501836,286.8033193807794,287.03781310746723,287.2312257436012,287.0273686705283,287.0375336765224,287.20893030594436,287.13318188546845
0.9,288.5493133820769,286.240289029678,286.53678960392074,286.72801657374237,286.4093146592942,286.5084682702539,286.60275427993065,286.4702299325049
1.0,289.33525167292464,287.02088391011523,287.3594406070572,287.53859759798655,287.16618180826345,287.3260788829966,287.30861356237637,287.21199289086013
1.1,288.37855009245686,285.9869942096835,286.4145275479721,286.58998899736105,286.17451617935194,286.37775440271577,286.202030121217,286.2782559765362
1.2000000000000002,287.8176286802778,285.2890001951387,285.8307017672825,285.9008554041002,285.5827102282628,285.70587087175335,285.49217075967584,285.6685931104458
1.3000000000000005,286.82570356687853,284.20960720965564,284.8648630509717,284.67553776497374,284.63339596574724,284.5342798809589,284.50371275060314,284.5549719456666
1.4,284.0598888189624,281.40025414266074,282.0098036645856,281.52703997067954,281.7323334646349,281.4118086446643,281.623057045663,281.43693880518083
1.5000000000000002,282.91120262795704,280.2643192715918,280.6932446265384,280.0154041205654,280.25994454268834,280.0371425580526,280.184954507869,280.084204682914
1.6,281.60469712008006,279.071612724484,279.21342609743806,278.4754312566447,278.6932810989999,278.71908613948636,278.63498087913507,278.82372349040463
1.7000000000000002,281.6073564226579,279.26382811354927,278.9692673882046,278.4930504785112,278.54124121502787,278.81141928099134,278.68128035494993,278.8139730067166
1.8000000000000005,282.1502775676806,280.04409392384997,279.1832517350258,279.18639732847566,279.12860786271483,279.4486638216348,279.43470462287587,279.2209031418334
1.9,282.0387685520162,280.0893413775531,278.80184374873966,279.2779609219304,279.2052838646279,279.1742729377958,279.22870024471075,279.1370460956448
2.0,280.73135644889015,278.8624639382174,277.42256016915184,278.12720970993587,278.0713374351573,277.7510201832959,277.76338196247366,277.91897959469765
