H,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
0.066,1.845405750459804,-0.40744362818713853,-0.238938883717708,-0.14125058918983768,0.09199657841315911,0.09836363765134593,-0.03392436990884562,-0.06559802479955579
0.1,1.8479216514697328,-0.40129199156513096,-0.23746361080173983,-0.14143663990739697,0.09382366776907247,0.10193153980355874,-0.04239504936629146,-0.06250788945186514
0.2,1.8440637295632882,-0.3949919377168385,-0.2376208646715554,-0.1433061270981284,0.08807322374701698,0.091673625092767,-0.039873206122024385,-0.04900180603777926
0.3,1.854472117167063,-0.4011998794192664,-0.24285595643323177,-0.14162770524882262,0.08201302489612772,0.07681936616819485,-0.03357581257228048,-0.02991975588315654
0.4,1.8837223629616346,-0.41995137309965,-0.25683278913857066,-0.1336858448626117,0.0590802498433618,0.011938251482945361,-0.0020163688223533427,0.048290322445211586
0.5,1.918353571878697,-0.42124935515977313,-0.24601994949745176,-0.08810411948473984,0.0048343368831638145,-0.046332808215538535,0.03720347522693146,0.09497750777933334
0.6,1.9509702248251983,-0.4183904202503186,-0.23210438807478795,-0.04280007394760332,-0.05705253599859361,-0.1322441072665015,0.08436198514823445,0.14505201230360854
0.7000000000000001,1.9360778984452054,-0.39143226696796773,-0.18515164185112098,-0.0006753684276645799,-0.09411626472586931,-0.11753023029586984,0.06365578831162111,0.05808546925538849
0.8,1.9562003650183328,-0.35668061922064,-0.12218689253279535,0.0712257436011896,-0.13263132947173517,-0.12246632347762443,0.04893030594433867,-0.02681811453157934
0.9,1.9693133820769617,-0.339710970321903,-0.043210396079189195,0.1480165737424386,-0.17068534070574515,-0.0715317297460274,0.022754279930722987,-0.1097700674950488
1.0,1.9943425820155767,-0.32002518079383435,0.018531516148129867,0.19768850707748697,-0.17472728264561965,-0.014830207912439164,-0.03229552853269979,-0.12891620004893412
1.1,2.083095547002358,-0.3084603357710307,0.11907300251760944,0.2945344519065429,-0.12093836610256403,0.08229985726126188,-0.09342442423752573,-0.017198568918331603
1.2000000000000002,2.250962013611172,-0.2776664715278798,0.2640351006158994,0.33418873743357835,0.01604356159617737,0.1392042050867417,-0.07449590699076225,0.10192644377917759
1.3000000000000005,2.375703566878542,-0.24039279034434458,0.4148630509716895,0.2255377649737511,0.18339596574725192,0.0842798809588885,0.053712750603153836,0.10497194566659118
1.4,2.5498888189624154,-0.10974585733924869,0.4998036645856132,0.017039970679547878,0.22233346463491444,-0.09819135533570034,0.11305704566302666,-0.07306119481916085
1.5000000000000002,2.738125704880133,0.0912423485148679,0.5201677034614818,-0.15767280251151305,0.0868676196114393,-0.13593436502429768,0.01187758479210288,-0.08887224016291384
1.6,2.8246971200800886,0.2916127244840254,0.4334260974380868,-0.30456874335527573,-0.08671890100009705,-0.06091386051360814,-0.14501912086490165,0.04372349040465906
1.7000000000000002,2.866447331748816,0.522919022640167,0.2283582972955287,-0.24785861239791984,-0.19966787588123225,0.07051019008224557,-0.059628735959165624,0.07306391580749505
1.8000000000000005,2.9002775676805754,0.7940939238499709,-0.06674826497419417,-0.06360267152433607,-0.12139213728517007,0.19866382163479557,0.18470462287586997,-0.029096858166610673
1.9,2.888768552016245,0.9393413775531485,-0.34815625126032046,0.1279609219304234,0.05528386462793833,0.02427293779584261,0.07870024471077386,-0.012953904355185841
2.0,2.817720085253768,0.9488275745810029,-0.491076194484549,0.21357334629948355,0.1577010715209326,-0.16261618034047842,-0.15025440116272648,0.005343231061260667
