H_first21,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
0.066,294.76796503251313,296.7315425080575,296.47723332101765,296.46015904894745,296.4887339549499,296.43698911292313,296.6307189675118,296.45163264516094,296.5725331925064
0.1,295.4113062153545,297.34935377190817,297.0615272170442,297.04494135161195,297.0897318509458,297.03054517464886,297.2322577335766,297.06402937541776,297.16198673609114
0.2,294.5494345216589,296.4943737042042,296.1976824973082,296.1814783436543,296.2377136353791,296.1751123609022,296.3675066726293,296.21984607701336,296.2957805586458
0.3,293.63380795199464,295.5797946130573,295.2855465903659,295.26767668904114,295.3219424559625,295.2658803199052,295.4421992070042,295.32296173053027,295.3841270743456
0.4,292.77774272429144,294.7125641961394,294.4222420168222,294.4051653949971,294.4592614749361,294.4174978014337,294.55447924858095,294.48793285998534,294.53675441351004
0.5,291.8198090701912,293.73672470297254,293.4520599702802,293.4376006768069,293.48151969918285,293.47234185237755,293.5538645903776,293.537056695534,293.581645861654
0.6,291.7779830257037,293.6913070726933,293.40153743219446,293.39489194412266,293.43318072156165,293.4526835517036,293.4681025991752,293.52103021455645,293.540732862514
0.7000000000000001,291.7852185308888,293.69875370388627,293.4130415157625,293.4130984322001,293.4267753660121,293.4846752714013,293.44432060997383,293.5434442733522,293.5316610544582
0.8,291.4368724210525,293.3518288193183,293.0635591748937,293.0791444250715,293.07477118196203,293.1615986820293,293.08313520650995,293.2058076790445,293.1568587946052
0.9,291.02336258000605,292.94244499732713,292.65500724912874,292.6893741750277,292.66646732297994,292.7737315148549,292.67686567863984,292.7981277218837,292.7154326000126
1.0,290.4229911191352,292.3374012017478,292.0601206957005,292.1067220411331,292.0747499914947,292.1885038442006,292.08389311494375,292.20644115496,292.094036602343
1.1,289.987202516343,291.8783034794518,291.60479319680144,291.679286303347,291.6326143267885,291.7532842632834,291.6477143561349,291.7651710761328,291.6250316714188
1.2000000000000002,289.50970661915903,291.3711398736035,291.09063545995417,291.2004950206368,291.14985120021964,291.2438516543306,291.1635120246734,291.274776338324,291.123001456054
1.3000000000000005,289.12324863676724,290.94160024993704,290.653186063606,290.79581553433763,290.75913120351305,290.8022729414949,290.75108991253177,290.8578196957081,290.71400308048624
1.4,288.67337926445515,290.4496964933838,290.1600210946999,290.3154334874829,290.30345855798276,290.294568182821,290.25501100540663,290.3452216815181,290.2356615933079
1.5000000000000002,288.4184892091042,290.16347233812036,289.8807457503342,290.028678860719,290.04571512807695,289.99112119471516,289.93916459467795,290.01056990561796,289.9335339926348
1.6,287.8891903103662,289.6016907063573,289.3333969477526,289.4613374011605,289.5152462853288,289.4215853831646,289.36078146003416,289.39543170608505,289.3604643625217
1.7000000000000002,287.29956821208174,288.97909645549527,288.7284274439712,288.81965906280186,288.9034970613917,288.80459004862973,288.74232912197056,288.7235239771849,288.7453163295868
1.8000000000000005,286.7380162167448,288.39107779931277,288.14950191074945,288.2001928520407,288.32221839167573,288.2189480406453,288.1610006852785,288.09745436125155,288.1625858377918
1.9,285.9398899438907,287.55858123799743,287.32138391166546,287.34475188223587,287.4971902274397,287.3940372070991,287.34811131155675,287.24336766623895,287.3528342421113
2.0,285.61462713993063,287.18960849873434,286.9651891046209,286.9672589494535,287.1315798203304,287.0384075733614,286.9981995763911,286.86954749254335,287.0025839424322
