PC,delta_c
PC1,2.0548891094735118
PC2,0.3355646435916395
PC3,0.1895168733757797
PC4,0.1385074697545261
PC5,0.131416727723398
PC6,0.1119167291308555
PC7,0.0830543563601663
PC8,0.0813556119042466
PC9,0.0668579560914361
