H_first21,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
0.066,298.3320349674868,296.3684574919424,296.62276667898226,296.63984095105246,296.61126604505,296.6630108870768,296.4692810324881,296.64836735483897,296.5274668074935
0.1,298.88869378464545,296.9506462280918,297.23847278295574,297.255058648388,297.2102681490542,297.2694548253511,297.06774226642335,297.2359706245822,297.1380132639088
0.2,298.03389881167436,296.0889596291291,296.38565083602504,296.40185498967895,296.34561969795413,296.4082209724311,296.21582666070395,296.3634872563199,296.28755277468747
0.3,297.12619204800535,295.1802053869427,295.47445340963407,295.49232331095885,295.43805754403746,295.4941196800948,295.3178007929958,295.4370382694697,295.3758729256544
0.4,296.2622572757085,294.32743580386057,294.61775798317774,294.6348346050029,294.58073852506385,294.6225021985663,294.485520751419,294.5520671400146,294.5032455864899
0.5,295.2801909298087,293.36327529702737,293.64794002971973,293.66239932319303,293.61848030081705,293.62765814762236,293.5461354096223,293.56294330446593,293.5183541383459
0.6,295.2311078833871,293.3177838363975,293.6075534768963,293.6141989649681,293.57591018752913,293.5564073573872,293.5409883099156,293.48806069453434,293.4683580465768
0.7000000000000001,295.23478146911117,293.3212462961137,293.6069584842375,293.60690156779987,293.59322463398786,293.5353247285987,293.57567939002615,293.4765557266478,293.4883389455418
0.8,294.88312757894755,292.96817118068174,293.2564408251063,293.24085557492856,293.245228818038,293.15840131797074,293.2368647934901,293.11419232095557,293.1631412053948
0.9,294.47663741999395,292.55755500267287,292.84499275087126,292.8106258249723,292.83353267702006,292.7262684851451,292.82313432136016,292.7018722781163,292.7845673999874
1.0,293.87700888086476,291.96259879825215,292.23987930429945,292.1932779588669,292.22525000850527,292.11149615579933,292.2161068850562,292.09355884504,292.20596339765694
1.1,293.40370657456606,291.5126056114573,291.78611589410764,291.7116227875621,291.7582947641206,291.6376248276257,291.7431947347742,291.6257380147763,291.76587741949027
1.2000000000000002,292.85696004750764,290.99552679306316,291.2760312067125,291.16617164602985,291.21681546644703,291.12281501233605,291.20315464199325,291.0918903283427,291.2436652106127
1.3000000000000005,292.37675136323276,290.55839975006296,290.846813936394,290.70418446566237,290.74086879648695,290.6977270585051,290.74891008746823,290.6421803042919,290.78599691951376
1.4,291.82662073554485,290.0503035066162,290.3399789053001,290.1845665125171,290.19654144201724,290.205431817179,290.24498899459337,290.1547783184819,290.2643384066921
1.5000000000000002,291.48151079089575,289.7365276618796,290.0192542496658,289.87132113928095,289.854284871923,289.9088788052848,289.96083540532203,289.889430094382,289.96646600736517
1.6,290.8708096896338,289.1583092936427,289.4266030522474,289.2986625988395,289.2447537146712,289.3384146168354,289.39921853996583,289.36456829391494,289.39953563747827
1.7000000000000002,290.20043178791826,288.52090354450473,288.7715725560288,288.68034093719814,288.5965029386083,288.69540995137027,288.75767087802944,288.7764760228151,288.7546836704132
1.8000000000000005,289.56198378325513,287.9089222006872,288.1504980892505,288.09980714795927,287.9777816083242,288.0810519593547,288.13899931472145,288.2025456387484,288.13741416220813
1.9,288.6873827833819,287.0686914892752,287.30588881560715,287.28252084503674,287.1300824998329,287.23323552017354,287.27916141571586,287.38390506103366,287.2744384851613
2.0,288.28537286006934,286.71039150126563,286.9348108953791,286.9327410505465,286.7684201796696,286.8615924266386,286.9018004236089,287.03045250745663,286.8974160575678
