H_first21,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
0.066,286.67230489966846,289.1416382655769,289.3546424748763,289.3242576422566,288.94073780988714,289.225725281304,289.0569885625349,289.11048308892225,289.2628286397851
0.1,285.642438836555,288.0795541556355,288.3262776784374,288.29234518312217,287.89642933295596,288.1881749724816,288.0155825094024,288.060029365535,288.23625181929054
0.2,285.3880755669905,287.8193015317371,288.05943328469306,288.03673195248643,287.6470497471507,287.93722189911665,287.76043796869624,287.81406948691256,287.9553361343733
0.3,285.1792458670692,287.61107815649723,287.8758225170005,287.84542077919315,287.44541263112916,287.72696325376734,287.5798164400006,287.59806461912206,287.7404970303841
0.4,284.84331116855225,287.30584124276385,287.6063856846197,287.56093272863734,287.15106205086124,287.3930531462433,287.3480502894334,287.2672992990338,287.3481701540327
0.5,284.61410609057236,287.0737114599657,287.43334131746553,287.35135323165713,287.0000871184458,287.1310148718974,287.21529615325636,287.08246994850924,287.06687360761003
0.6,285.1572967464935,287.61988556012795,288.02485942805987,287.9136909162135,287.6468506493114,287.6530460946016,287.87269743102854,287.67496617939855,287.53497772943587
0.7000000000000001,284.9932271279659,287.38055691943697,287.8142728462141,287.66548572294664,287.4963643221427,287.4268260636527,287.6583286887322,287.5447599429944,287.39364773768
0.8,284.64257950487524,286.9517880078912,287.4552282825738,287.24488621765585,287.2083577624015,287.01697723446875,287.28850533341136,287.2522813974845,287.07086911285256
0.9,284.0764226714927,286.3103958195427,286.8943255235561,286.5884105392519,286.70526471820114,286.3971290244023,286.666194056182,286.7395695580211,286.5923312533661
1.0,284.8277490318482,287.0252483564103,287.65411146770623,287.2896415919341,287.5172670449186,287.1482941937929,287.3709056479191,287.5251405775913,287.4332538149745
1.1,283.70325037068835,285.9032969675518,286.6248762218507,286.13896225822515,286.5358146283317,286.0852009032037,286.1943315309203,286.42192608321795,286.4198169443335
1.2000000000000002,282.8138023792166,285.05691314158065,285.8913578230115,285.2818591751957,285.81930837293436,285.4331650556055,285.33749871251547,285.55190198503146,285.61725958036925
1.3000000000000005,281.5811177684662,283.8494339001122,284.73535566737695,284.05903336106894,284.604212847512,284.522120507601,284.204243082428,284.29870714267935,284.32168161620604
1.4,278.50593820484545,280.7468745508403,281.6914334049719,281.12116300869457,281.54426322323343,281.8025369833034,281.43143876772797,281.33491244135854,281.3089839070781
1.5000000000000002,277.02722727960213,279.2266400236931,280.1763296170957,279.82474994964326,280.12005885452885,280.55809849741263,280.29668237424386,280.11102124315744,280.0988442453496
1.6,275.57513515663425,277.7453211201458,278.5593237231627,278.5352136716567,278.6466720314187,279.17593359679347,279.05970604851973,278.86581511164474,278.87815184501125
1.7000000000000002,275.54597340713065,277.6072082709989,278.3112451518626,278.68909979840197,278.67118227042704,278.97741846864363,279.0034899965114,278.91295337011087,278.9091701534035
1.8000000000000005,276.0827014970911,278.01125810246117,278.5858835283547,279.44811554837986,279.2955202992455,279.2353048332304,279.3100271140528,279.3045812498783,279.39757414749806
1.9,276.0213639605847,277.88930773520843,278.36313676909276,279.5730262792858,279.28286361628113,278.9093127300721,279.0065045332189,279.0438414272013,279.102256865706
2.0,274.8441923495412,276.7225626612869,277.0978672189396,278.4309900685679,278.08696185863755,277.5615319429858,277.6996146075472,277.69193495110216,277.7839209434647
