H_first21,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
0.066,-2.4776951003315304,-0.008361734423092175,0.20464247487629716,0.17425764225661414,-0.20926219011286104,0.07572528130402204,-0.09301143746504797,-0.03951691107771004,0.11282863978508773
0.1,-2.467561163445019,-0.030445844364511067,0.2162776784374184,0.18234518312215894,-0.21357066704405944,0.0781749724816052,-0.09441749059759437,-0.04997063446499362,0.12625181929054027
0.2,-2.4619244330095067,-0.0306984682629454,0.20943328469302955,0.18673195248638608,-0.20295025284936818,0.08722189911664543,-0.0895620313037937,-0.03593051308746028,0.10533613437325172
0.3,-2.4707541329307743,-0.038921843502735386,0.22582251700051648,0.19542077919317763,-0.20458736887082582,0.07696325376734049,-0.07018355999935136,-0.051935380877896,0.09049703038414514
0.4,-2.5066888314477853,-0.044158757236191185,0.2563856846196387,0.21093272863732035,-0.19893794913879845,0.04305314624325638,-0.0019497105666590308,-0.08270070096619847,-0.0018298459673425859
0.5,-2.5358939094276303,-0.07628854003428286,0.2833413174655835,0.20135323165717664,-0.14991288155417534,-0.018985128102620298,0.06529615325640489,-0.06753005149071659,-0.08312639238996275
0.6,-2.5654305262337274,-0.10284171259929166,0.30213215533265586,0.19096364348625375,-0.07587662341588823,-0.06968117812563707,0.1499701583012932,-0.04776109332869141,-0.1877495432913981
0.7000000000000001,-2.526772872034033,-0.1394430805629553,0.2942728462141954,0.14548572294672044,-0.02363567785719683,-0.09317393634720678,0.13832868873225423,0.024759942994506574,-0.12635226231990057
0.8,-2.517420495124803,-0.20821199210881491,0.29522828257378075,0.08488621765583662,0.04835776240143803,-0.14302276553124788,0.12850533341136458,0.0922813974845059,-0.08913088714747296
0.9,-2.503577328507196,-0.26960418045721096,0.31432552355619003,0.008410539252011828,0.12526471820119386,-0.18287097559761026,0.08619405618205267,0.15956955802116637,0.01233125336620373
1.0,-2.5131600590608443,-0.3156607344987524,0.3132023767971518,-0.051267498974945265,0.1763579540095274,-0.19261489711615876,0.02999655700999398,0.18423148668220288,0.09234472406542138
1.1,-2.5922041747661333,-0.3921575779027272,0.32942167639620384,-0.15649228722935646,0.24036008287718197,-0.21025364225078638,-0.10112301453418872,0.12647153776346567,0.12436239887901321
1.2000000000000002,-2.7528642874499982,-0.5097535250859393,0.3246911563448868,-0.2848074914709488,0.25264170626775156,-0.1335016110611114,-0.22916795415116356,-0.014764681635134521,0.05059291370262681
1.3000000000000005,-2.8688822315338225,-0.6005660998877601,0.28535566737694346,-0.39096663893107364,0.15421284751199332,0.0721205076010149,-0.24575691757198936,-0.15129285732061754,-0.12831838379396815
1.4,-3.0040617951545645,-0.7631254491597281,0.1814334049719113,-0.38883699130542104,0.034263223233420737,0.2925369833034425,-0.07856123227204588,-0.17508755864145595,-0.20101609292189648
1.5000000000000002,-3.145849643474758,-0.9464368993838131,0.0032526940187968508,-0.3483269734336675,-0.053018068548083976,0.38502157433574286,0.12360545116693233,-0.062055679919445564,-0.07423267772731174
1.6,-3.2048648433657467,-1.0346788798541842,-0.22067627683725957,-0.2447863283432327,-0.1333279685812941,0.3959335967934847,0.27970604851976655,0.08581511164477637,0.0981518450112681
1.7000000000000002,-3.1949356837784344,-1.1337008199101715,-0.4296639390465265,-0.05180929250711949,-0.06972682048207002,0.2365093777345083,0.26258090560233105,0.17204427920177573,0.16826106249442574
1.8000000000000005,-3.1672985029089062,-1.2387418975388098,-0.6641164716452623,0.1981155483798719,0.045520299245454046,-0.014695166769638224,0.06002711405278002,0.05458124987831651,0.14757414749806408
1.9,-3.12863603941525,-1.2606922647915528,-0.7868632309072393,0.42302627928583086,0.1328636162811309,-0.24068726992789902,-0.14349546678105357,-0.1061585727986525,-0.047743134293972436
2.0,-3.069444014095228,-1.1910737023495048,-0.8157691446968083,0.51735370493153,0.17332549500116295,-0.35210442065054914,-0.21402175608921634,-0.22170141253424308,-0.12971542017170015
