H_first21,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
0.066,291.6276951003315,289.15836173442307,288.94535752512365,288.97574235774334,289.3592621901128,289.07427471869596,289.24301143746504,289.1895169110777,289.03717136021487
0.1,290.577561163445,288.14044584436454,287.8937223215626,287.92765481687786,288.32357066704407,288.03182502751844,288.2044174905976,288.159970634465,287.9837481807095
0.2,290.31192443300955,287.88069846826295,287.640566715307,287.6632680475136,288.05295025284937,287.7627781008834,287.9395620313038,287.8859305130875,287.74466386562676
0.3,290.12075413293076,287.6889218435027,287.4241774829995,287.4545792208068,287.8545873688708,287.5730367462326,287.7201835599993,287.7019353808779,287.55950296961583
0.4,289.8566888314478,287.3941587572362,287.09361431538036,287.1390672713627,287.5489379491388,287.30694685375676,287.35194971056666,287.4327007009662,287.35182984596736
0.5,289.6858939094276,287.22628854003426,286.8666586825344,286.9486467683428,287.2999128815542,287.1689851281026,287.0847038467436,287.2175300514907,287.2331263923899
0.6,290.288157798961,287.8255689853265,287.4205951173946,287.53176362924097,287.7986038961431,287.79240845085286,287.57275711442594,287.77048836605593,287.9104768160186
0.7000000000000001,290.04677287203396,287.6594430805629,287.2257271537857,287.3745142770532,287.54363567785714,287.61317393634715,287.38167131126767,287.49524005700545,287.64635226231985
0.8,289.6774204951248,287.36821199210885,286.86477171742627,287.0751137823442,287.1116422375986,287.3030227655313,287.0314946665887,287.0677186025155,287.2491308871475
0.9,289.08357732850715,286.84960418045716,286.26567447644373,286.57158946074793,286.4547352817987,286.76287097559754,286.49380594381785,286.42043044197874,286.56766874663373
1.0,289.8540691499699,287.6565698254078,287.0277067141119,287.392176589884,287.16455113689955,287.53352398802525,287.31091253389906,287.15667760422684,287.24856436684365
1.1,288.88765872022066,286.6876121233572,285.9660328690583,286.45194683268386,286.0550944625773,286.5057081877053,286.3965775599887,286.16898300769105,286.1710921465755
1.2000000000000002,288.3195309541166,286.07642019175256,285.2419755103217,285.85147415813753,285.31402496039885,285.7001682777277,285.79583462081774,285.58143134830175,285.51607375296396
1.3000000000000005,287.3188822315338,285.05056609988776,284.164644332623,284.84096663893104,284.295787152488,284.37787949239896,284.695756917572,284.60129285732063,284.57831838379394
1.4,284.51406179515453,282.2731254491597,281.32856659502806,281.8988369913054,281.47573677676655,281.21746301669657,281.588561232272,281.68508755864144,281.7110160929219
1.5000000000000002,283.3189265665517,281.1195138224607,280.1698242290581,280.52140389651055,280.22609499162496,279.7880553487412,280.04947147190995,280.2351326029964,280.2473096008042
1.6,281.9848648433657,279.81467887985417,279.0006762768372,279.0247863283432,278.91332796858126,278.3840664032065,278.5002939514802,278.6941848883552,278.6818481549887
1.7000000000000002,281.93584477468755,279.8746099108193,279.1705730299556,278.79271838341623,278.81063591139116,278.50439971317456,278.4783281853068,278.56886481170733,278.5726480284147
1.8000000000000005,282.4172985029089,280.48874189753883,279.9141164716453,279.05188445162014,279.2044797007545,279.2646951667696,279.1899728859472,279.1954187501217,279.10242585250194
1.9,282.27863603941523,280.4106922647915,279.9368632309072,278.72697372071417,279.0171363837188,279.39068726992787,279.29349546678105,279.25615857279865,279.19774313429394
2.0,280.9830803777316,279.1047100659859,278.7294055083332,277.3962826587049,277.7403108686352,278.26574078428695,278.1276581197256,278.1353377761706,278.0433517838081
