lambda_um,S_rms_U,S_max_U
2.5,0.0001265179427672316,0.0002792559449337024
2.500625156,0.00013365799608417223,0.00028199575214473115
2.501250625,0.00011453435920039153,0.000282905046953578
2.501876407,0.00014521618968365907,0.00028128622480659977
2.502502503,0.0001719841081647008,0.0002765219774538517
2.503128911,0.000232166884648475,0.0003324908923534019
2.503755633,0.00017709659178444557,0.0002777979587162527
2.50438267,0.00018738346152243713,0.0002779690141753427
2.50501002,0.00017315930266890205,0.0002829483582931484
2.505637685,0.00022768729253676677,0.00031589707702338
2.506265664,0.00022794040968947155,0.0003134387340115249
2.506893958,0.00016297655799080968,0.0002903441345079991
2.507522568,0.00012664420539188896,0.0002965451990526765
2.508151492,0.00012814634663292588,0.00029651235056480014
2.508780733,0.00018972613994584306,0.0002853458112638648
2.509410289,0.00020078409530928045,0.0002840433078890303
2.510040161,0.0001564271490495311,0.00029135465132393187
2.510670349,0.00022585618191042309,0.00030692462393032616
2.511300854,0.00023504939266230112,0.00032757420632969174
2.511931675,0.0002099741512995908,0.0002871753503775171
2.512562814,0.0002191329670309184,0.00029575560559225026
2.51319427,0.00019733100091532714,0.0002911244685866643
2.513826043,0.00015674878693601379,0.00029944924870308766
2.514458134,0.00020086778232598904,0.0002931026775232241
2.515090543,0.0002470868348122982,0.00035277222220120644
2.51572327,0.0002476452840335376,0.00035277222220120644
2.516356316,0.0002488907710209163,0.0003564597367189891
2.51698968,0.00024673492698923936,0.0003478555361774963
2.517623364,0.0002513451585922581,0.0003607618369897356
2.518257366,0.0002215508058782909,0.0002988829307269115
2.518891688,0.00021987636446214856,0.00029962663053762054
2.519526329,0.00025265797749381483,0.0003613764227426993
2.52016129,0.00021902485108359036,0.0003001675356379861
2.520796572,0.00018692488940380195,0.0003056070019081946
2.521432173,0.00018325604167737942,0.0003074049091446326
2.522068096,0.00023612339134679135,0.0003194339244689712
2.522704339,0.00023732183293121028,0.00032122096740306335
2.523340903,0.0002228087714322211,0.00030743678434397943
2.523977789,0.00026281337248623693,0.0003890327816260691
2.524614996,0.0002474076332234201,0.0003373043538098926
2.525252525,0.0002498248608249626,0.00034109509289489477
2.525890376,0.00024779194988765716,0.0003373043538098926
2.52652855,0.0002603785360352005,0.0003669076945193733
