window_id,lambda_center_um,lambda_start_um,lambda_end_um,num_points,E_L2,dominant_pc,dominant_sign,dominance_index,opposition_fraction,V_PC1,V_PC2,V_PC3,V_PC4,V_PC5,V_PC6,V_PC7,V_PC8,V_PC9,sum_absV,target_pc,DI_target,V_target,score_per_pc
95,12.250000000000009,12.000000000000009,12.500000000000009,34,0.22763166786132324,PC1,1,0.3371012110424337,0.375,0.1564319392953305,0.12304875641849693,-0.10083025076452082,-0.03460473952785104,0.012467855402989614,0.025259828083691115,-0.0023689455858307363,0.004378901584226673,0.004659146169010745,0.4640503628319482,PC1,0.3371012110424337,0.1564319392953305,0.07673491090766109
94,12.15000000000001,11.90000000000001,12.40000000000001,34,0.2283033474724767,PC1,1,0.3326311226748591,0.375,0.15445817262244765,0.1252658562106955,-0.10255442076642234,-0.03601371992170546,0.011201229186363551,0.024323961167322362,-0.0018543168473816544,0.003663080929261984,0.005017980541895878,0.46435273819349643,PC1,0.3326311226748591,0.15445817262244765,0.07594079878019838
91,11.850000000000009,11.600000000000009,12.100000000000009,36,0.22298573554733148,PC1,1,0.3360126500399238,0.375,0.15257707751039132,0.12105209885521778,-0.09919053265768053,-0.03428347199260261,0.011697382867154263,0.024397547487429144,-0.0021491928897110855,0.003970205695304531,0.004763839339729195,0.4540813492952205,PC1,0.3360126500399238,0.15257707751039132,0.07492602792236049
92,11.950000000000008,11.700000000000008,12.200000000000008,35,0.22359410492558168,PC1,1,0.3344875980142122,0.375,0.15218401940961174,0.12208030775987384,-0.09983765680911327,-0.034777694477434395,0.011359027433569806,0.024147408509598105,-0.0019776214469555066,0.0037704904364203574,0.004842341796773867,0.45497656807935083,PC1,0.3344875980142122,0.15218401940961174,0.07478945508669554
93,12.050000000000008,11.800000000000008,12.300000000000008,34,0.2260325813596786,PC1,1,0.33061072310339995,0.375,0.15180691664102955,0.12486330954480293,-0.10215164588710357,-0.03625137675681547,0.010430244416484179,0.02359110141130221,-0.0016283789315348477,0.0032879011687261574,0.0051603076407564915,0.45917118239855537,PC1,0.33061072310339995,0.15180691664102955,0.07472879516825143
94,12.15000000000001,11.90000000000001,12.40000000000001,34,0.2283033474724767,PC1,1,0.3326311226748591,0.375,0.15445817262244765,0.1252658562106955,-0.10255442076642234,-0.03601371992170546,0.011201229186363551,0.024323961167322362,-0.0018543168473816544,0.003663080929261984,0.005017980541895878,0.46435273819349643,PC2,0.2697644396327368,0.1252658562106955,0.061588124597190666
93,12.050000000000008,11.800000000000008,12.300000000000008,34,0.2260325813596786,PC1,1,0.33061072310339995,0.375,0.15180691664102955,0.12486330954480293,-0.10215164588710357,-0.03625137675681547,0.010430244416484179,0.02359110141130221,-0.0016283789315348477,0.0032879011687261574,0.0051603076407564915,0.45917118239855537,PC2,0.2719319380901892,0.12486330954480293,0.06146547792066577
95,12.250000000000009,12.000000000000009,12.500000000000009,34,0.22763166786132324,PC1,1,0.3371012110424337,0.375,0.1564319392953305,0.12304875641849693,-0.10083025076452082,-0.03460473952785104,0.012467855402989614,0.025259828083691115,-0.0023689455858307363,0.004378901584226673,0.004659146169010745,0.4640503628319482,PC2,0.26516250449104367,0.12304875641849693,0.06035938315158189
92,11.950000000000008,11.700000000000008,12.200000000000008,35,0.22359410492558168,PC1,1,0.3344875980142122,0.375,0.15218401940961174,0.12208030775987384,-0.09983765680911327,-0.034777694477434395,0.011359027433569806,0.024147408509598105,-0.0019776214469555066,0.0037704904364203574,0.004842341796773867,0.45497656807935083,PC2,0.26832218695399335,0.12208030775987384,0.05999525922365273
91,11.850000000000009,11.600000000000009,12.100000000000009,36,0.22298573554733148,PC1,1,0.3360126500399238,0.375,0.15257707751039132,0.12105209885521778,-0.09919053265768053,-0.03428347199260261,0.011697382867154263,0.024397547487429144,-0.0021491928897110855,0.003970205695304531,0.004763839339729195,0.4540813492952205,PC2,0.26658681102648835,0.12105209885521778,0.05944505614395896
94,12.15000000000001,11.90000000000001,12.40000000000001,34,0.2283033474724767,PC1,1,0.3326311226748591,0.375,0.15445817262244765,0.1252658562106955,-0.10255442076642234,-0.03601371992170546,0.011201229186363551,0.024323961167322362,-0.0018543168473816544,0.003663080929261984,0.005017980541895878,0.46435273819349643,PC3,0.22085456234283637,-0.10255442076642234,0.050421835887438336
93,12.050000000000008,11.800000000000008,12.300000000000008,34,0.2260325813596786,PC1,1,0.33061072310339995,0.375,0.15180691664102955,0.12486330954480293,-0.10215164588710357,-0.03625137675681547,0.010430244416484179,0.02359110141130221,-0.0016283789315348477,0.0032879011687261574,0.0051603076407564915,0.45917118239855537,PC3,0.22246963616814502,-0.10215164588710357,0.050285386137234336
95,12.250000000000009,12.000000000000009,12.500000000000009,34,0.22763166786132324,PC1,1,0.3371012110424337,0.375,0.1564319392953305,0.12304875641849693,-0.10083025076452082,-0.03460473952785104,0.012467855402989614,0.025259828083691115,-0.0023689455858307363,0.004378901584226673,0.004659146169010745,0.4640503628319482,PC3,0.21728299090035538,-0.10083025076452082,0.04946048961654462
92,11.950000000000008,11.700000000000008,12.200000000000008,35,0.22359410492558168,PC1,1,0.3344875980142122,0.375,0.15218401940961174,0.12208030775987384,-0.09983765680911327,-0.034777694477434395,0.011359027433569806,0.024147408509598105,-0.0019776214469555066,0.0037704904364203574,0.004842341796773867,0.45497656807935083,PC3,0.2194347221672764,-0.09983765680911327,0.049064310292585865
