lambda_um,PC1_sens,PC2_sens,PC3_sens,PC4_sens,PC5_sens,PC6_sens,PC7_sens,PC8_sens,PC9_sens
2.581977795,0.000804307,-8.545e-05,3.6049999999999995e-05,4.3650000000000004e-05,2.7249999999999998e-05,5.29e-05,-3.7550000000000005e-05,4.345e-05,-8.625e-06
2.582644628,0.0008065155,-8.585e-05,3.62e-05,4.385e-05,2.73e-05,5.305e-05,-3.7699999999999995e-05,4.355e-05,-8.625e-06
2.583311806,0.000812917,-8.444999999999999e-05,3.47e-05,4.25e-05,2.77e-05,5.245e-05,-3.73e-05,4.4449999999999996e-05,-9.59e-06
2.583979328,0.0008172145000000001,-8.38e-05,3.39e-05,4.17e-05,2.805e-05,5.2149999999999994e-05,-3.7149999999999995e-05,4.4949999999999995e-05,-1e-05
2.584647196,0.0008189625,-8.455e-05,3.45e-05,4.235e-05,2.79e-05,5.2550000000000003e-05,-3.745e-05,4.485e-05,-9.805e-06
2.585315408,0.0008174174999999999,-8.675e-05,3.65e-05,4.4250000000000005e-05,2.77e-05,5.3750000000000005e-05,-3.82e-05,4.4200000000000004e-05,-8.83e-06
2.585983967,0.0008192379999999999,-8.755e-05,3.715e-05,4.495e-05,2.77e-05,5.415e-05,-3.84e-05,4.41e-05,-8.595e-06
2.586652871,0.0008258390000000001,-8.605e-05,3.5499999999999996e-05,4.34e-05,2.81e-05,5.345e-05,-3.805e-05,4.4949999999999995e-05,-9.57e-06
2.587322122,0.0008307894999999999,-8.525e-05,3.46e-05,4.25e-05,2.845e-05,5.305e-05,-3.785e-05,4.565e-05,-1.02e-05
2.587991718,0.0008311810000000001,-8.65e-05,3.565e-05,4.355e-05,2.83e-05,5.3700000000000004e-05,-3.8249999999999995e-05,4.5350000000000005e-05,-9.630000000000001e-06
2.588661662,0.0008329145000000001,-8.74e-05,3.635e-05,4.4349999999999994e-05,2.83e-05,5.415e-05,-3.855e-05,4.53e-05,-9.4e-06
2.589331952,0.000837778,-8.675e-05,3.5449999999999994e-05,4.35e-05,2.865e-05,5.38e-05,-3.835e-05,4.585e-05,-9.914999999999999e-06
2.59000259,0.0008373445,-8.87e-05,3.725e-05,4.525e-05,2.84e-05,5.4850000000000005e-05,-3.9e-05,4.525e-05,-9.09e-06
2.590673575,0.0008385495,-9.045e-05,3.8650000000000004e-05,4.6649999999999996e-05,2.83e-05,5.575e-05,-3.9399999999999995e-05,4.4750000000000004e-05,-8.34e-06
2.591344908,0.000841093,-9.015e-05,3.835e-05,4.635e-05,2.8349999999999998e-05,5.565e-05,-3.945e-05,4.52e-05,-8.715e-06
2.592016589,0.0008451225,-8.950000000000001e-05,3.7649999999999994e-05,4.565e-05,2.865e-05,5.545e-05,-3.935e-05,4.565e-05,-9.155e-06
2.592688618,0.0008518255,-8.825e-05,3.605e-05,4.425e-05,2.9e-05,5.475e-05,-3.905e-05,4.6649999999999996e-05,-1.01e-05
2.593360996,0.000852722,-8.895e-05,3.675e-05,4.4949999999999995e-05,2.9e-05,5.525e-05,-3.935e-05,4.655e-05,-9.81e-06
2.594033722,0.00085815,-8.835e-05,3.5900000000000005e-05,4.405e-05,2.9350000000000002e-05,5.49e-05,-3.915e-05,4.705e-05,-1.04e-05
2.594706798,0.0008624575,-8.8e-05,3.545e-05,4.3650000000000004e-05,2.9650000000000002e-05,5.4850000000000005e-05,-3.915e-05,4.7550000000000004e-05,-1.075e-05
2.595380223,0.000864534,-8.865e-05,3.5850000000000004e-05,4.405e-05,2.96e-05,5.5049999999999996e-05,-3.925e-05,4.7550000000000004e-05,-1.07e-05
2.596053998,0.000867795,-8.875e-05,3.5850000000000004e-05,4.405e-05,2.9749999999999998e-05,5.515e-05,-3.9399999999999995e-05,4.77e-05,-1.08e-05
