window_id,lambda_center_um,lambda_start_um,lambda_end_um,num_points,E_L2,dominant_pc,dominant_sign,dominance_index,opposition_fraction,V_PC1,V_PC2,V_PC3,V_PC4,V_PC5,V_PC6,V_PC7,V_PC8,V_PC9,sum_absV
94,12.15000000000001,11.90000000000001,12.40000000000001,34,0.2283033474724767,PC1,1,0.3326311226748591,0.375,0.15445817262244765,0.1252658562106955,-0.10255442076642234,-0.03601371992170546,0.011201229186363551,0.024323961167322362,-0.0018543168473816544,0.003663080929261984,0.005017980541895878,0.46435273819349643
91,11.850000000000009,11.600000000000009,12.100000000000009,36,0.22298573554733148,PC1,1,0.3360126500399238,0.375,0.15257707751039132,0.12105209885521778,-0.09919053265768053,-0.03428347199260261,0.011697382867154263,0.024397547487429144,-0.0021491928897110855,0.003970205695304531,0.004763839339729195,0.4540813492952205
87,11.450000000000008,11.200000000000008,11.700000000000008,38,0.21702750594873055,PC1,1,0.33448770142747164,0.2857142857142857,0.14723706388346408,0.11890316310762677,-0.09721081707072003,-0.03435225976348702,0.010403719399138268,0.022565728500924562,-0.0014567701834030415,0.0029867314324799315,0.005070525589969405,0.4401867789312131
84,11.150000000000007,10.900000000000007,11.400000000000007,40,0.20901005279262408,PC1,1,0.336095812842618,0.2857142857142857,0.14226318088980888,0.11408511741205286,-0.09349284968257532,-0.033055933231321756,0.009960636358417678,0.021565099404467162,-0.001276269557191631,0.0026242682526657866,0.004958267456598954,0.4232816222451
81,10.850000000000007,10.600000000000007,11.100000000000007,43,0.20299753763484213,PC1,1,0.33604304917959105,0.2857142857142857,0.1379730196236126,0.11068333980289993,-0.09123178088186482,-0.032407920768426204,0.009315777303756266,0.020729662212945504,-0.0010746070172683083,0.0022032719343370658,0.004962002692841355,0.4105813822379521
101,12.850000000000009,12.600000000000009,13.100000000000009,30,0.20187048008385833,PC1,1,0.3469852575161057,0.375,0.14344458770344842,0.10503277382073484,-0.08666853355787328,-0.028097518171785706,0.013647497458028443,0.024625409710444156,-0.003031138706361465,0.005291581985223015,0.003563501490638518,0.41340254260453785
98,12.550000000000008,12.300000000000008,12.800000000000008,32,0.19850003503765262,PC1,1,0.3527504589654174,0.375,0.14429271970759444,0.1004611751746669,-0.08270758827005284,-0.0252260448208724,0.01548889265113077,0.02631642722343621,-0.00452414358233114,0.0071691477957486205,0.0028642703208781846,0.4090504095467115
78,10.550000000000008,10.300000000000008,10.800000000000008,45,0.1865981414454085,PC1,1,0.3368282560749883,0.2857142857142857,0.12679330645874698,0.10171484436880593,-0.08398833766754757,-0.030041614111134502,0.008100175266980985,0.01866115465812225,-0.0007495177776004445,0.0015979018985896628,0.004786253305207852,0.3764331055127362
43,7.050000000000004,6.800000000000004,7.300000000000004,101,0.1856982145245641,PC8,1,0.17496691866072336,0.375,0.0700862205396341,-0.045882340167045406,0.03404972279026664,0.05652580422542015,0.03783761800361414,0.08341019624923919,-0.07793088117516173,0.09054691192392009,-0.021239058106056696,0.5175087531803582
40,6.7500000000000036,6.5000000000000036,7.0000000000000036,110,0.17878007292960668,PC8,1,0.1811331434542075,0.375,0.06638566820826027,-0.04298796549796416,0.03177946827352086,0.05287075807881673,0.03537790000112719,0.07948762445969956,-0.07574854370064077,0.08999990418490462,-0.02223370898504679,0.49687154138998096
