lambda_um,S_rms_9,S_max_9
11.26126126,0.21502631581416232,0.638365795
11.27395716,0.1939916292499786,0.578471907
11.28668172,0.20477135590083734,0.606998157
11.29943503,0.20436416327856535,0.6057462149999999
11.31221719,0.21052289355481144,0.6272356585
11.32502831,0.22213220933666544,0.6605525205
11.33786848,0.2048861527459788,0.6072085785
11.3507378,0.2124414969029691,0.6306308125
11.36363636,0.20635474852682126,0.6115824
11.37656428,0.20452780751805838,0.6084547874999999
11.38952164,0.2148435011367079,0.6375596125
11.40250855,0.20634513098474005,0.6115344680000001
11.41552511,0.20693821904854817,0.613286899
11.42857143,0.20540115718774454,0.6085570315
11.4416476,0.20601034362101905,0.610375118
11.45475372,0.20751425283651218,0.6149237835
11.46788991,0.21662085496480063,0.6427906145
11.48105626,0.19732056493655328,0.5885157555
11.49425287,0.2101890706452952,0.6229287
11.50747986,0.20846387036459382,0.617646182
11.52073733,0.20823055774596091,0.6169412425
11.53402537,0.20965305449969024,0.621233374
11.54734411,0.2223114393264468,0.6600362755
11.56069364,0.20780254009481713,0.620054058
11.57407407,0.21134294695021852,0.6263847935
11.58748552,0.21034848005465326,0.623222699
11.60092807,0.21088082174158604,0.6247885474999999
11.61440186,0.21145618283737747,0.6265274430000001
11.62790698,0.2186645248195568,0.64892504
11.64144354,0.21668641465671518,0.6434322320000001
11.65501166,0.2139113561165054,0.633947629
11.66861144,0.21364639177735847,0.6331317605
11.68224299,0.2183661246962675,0.6475920765000001
11.69590643,0.19947377571897654,0.595164004
11.70960187,0.23408667392913218,0.6967520405000001
11.72332943,0.1524605866431406,0.457011213
11.7370892,0.19923330172157278,0.5944064904999999
11.75088132,0.22293291606167207,0.6615576135000001
11.76470588,0.19953732215897013,0.594653625
11.77856302,0.22426052032607954,0.666020124
11.79245283,0.21562816277407446,0.6389958145000001
11.80637544,0.21496166431532396,0.6369157105000001
11.82033097,0.21835224566328723,0.6473293365
11.83431953,0.21532334861928834,0.6379456365
11.84834123,0.21568912724803407,0.639001009
11.8623962,0.21679101099202266,0.6423200984999999
11.87648456,0.22061651393390963,0.65479915
11.89060642,0.22664752314984515,0.6725535025
11.9047619,0.19216462212121369,0.57478176
11.91895113,0.22394882188808518,0.6641142675
11.93317422,0.221125293644115,0.655369213
11.9474313,0.21989410951939323,0.6514941415
11.96172249,0.22512336601535557,0.6689133615
11.9760479,0.22322473077270838,0.6617013865
11.99040767,0.2203288644347054,0.6527097505
12.00480192,0.2209378951171966,0.6545454935
12.01923077,0.2213350640001865,0.655674573
12.03369434,0.22263558231462832,0.6596929229999999
12.04819277,0.22234155095070054,0.658760625
12.06272618,0.22350715324999731,0.662397238
12.07729469,0.19969314178989364,0.5953611455000001
12.09189843,0.23175415512849146,0.6896740035
12.10653753,0.2259385670184299,0.6696880080000001
12.12121212,0.21124947993655638,0.6281147815
12.13592233,0.22452207465750312,0.6651927870000001
12.15066829,0.2248644730200722,0.666424003
12.16545012,0.22342784778995511,0.6619676145
12.18026797,0.2248994726656045,0.6662221245
12.19512195,0.22360752594681085,0.66251572
12.21001221,0.22348280049370176,0.6621752595
12.22493888,0.2260061082580088,0.6695589305
12.23990208,0.22408265795239704,0.6641181805
12.25490196,0.22774595018268085,0.675743962
12.26993865,0.20892019727847835,0.622544881
12.28501229,0.18279901886248565,0.546741089
12.300123,0.23146796197551334,0.6865154520000001
12.31527094,0.2242140953833701,0.664618752
12.33045623,0.22312082921193938,0.661371352
12.34567901,0.22892038244012555,0.678374595
12.36093943,0.22481268380963862,0.6673742755000001
12.37623762,0.1778830505089153,0.5315292254999999
12.39157373,0.23544373506833458,0.6993437385000001
12.40694789,0.2226548454346196,0.6622064565
12.42236025,0.22672869982230814,0.672811956
12.43781095,0.19907255672101587,0.593733096
12.45330012,0.1623135719733255,0.486057024
12.46882793,0.22959580193499154,0.6817319195
12.48439451,0.23363963538362725,0.69315364
12.5,0.22761202477119802,0.6765760000000001
12.51564456,0.12129978328573811,0.36356936949999996
12.53132832,0.13573302111628588,0.406917756
12.54705144,0.22322729382465537,0.6649367815
12.56281407,0.11806184495370912,0.35387453599999996
12.57861635,0.21898696683986688,0.6523762049999999
12.59445844,0.1631842871609673,0.488430291
12.61034048,0.2181611376807119,0.6489407254999999
12.62626263,0.13925795034353308,0.41625239
12.64222503,0.21310138776016704,0.632594775
12.65822785,0.23170406144248498,0.6868532549999999
12.67427123,0.233109501804082,0.6908426795
12.69035533,0.23221414737408044,0.688502707
12.7064803,0.23108335530037666,0.6851769565000001
12.72264631,0.23466282450342166,0.6962252019999999
12.7388535,0.19081289166707543,0.5691762215
12.75510204,0.15698235786683584,0.46950498549999997
12.77139208,0.23300175222942754,0.6919322455
12.78772379,0.2280002951188264,0.676345544
12.80409731,0.22880642687259384,0.6786121105
12.82051282,0.23004971983259706,0.68350698
12.83697047,0.18235837625375761,0.5441543245
12.85347044,0.23332947377326993,0.6933830860000001
12.87001287,0.13502213085037362,0.40449842999999996
12.88659794,0.1708307663386196,0.510464595
12.90322581,0.2220237968571853,0.6605673750000001
12.91989664,0.2224688255676302,0.660361475
12.93661061,0.2218248074925021,0.658148317
12.95336788,0.22775508527034086,0.6756074624999999
12.97016861,0.21790503761268512,0.6471679164999999
12.98701299,0.17715404155511869,0.529074315
13.00390117,0.16555568148586752,0.4941116835
13.02083333,0.20700250981355542,0.615186432
13.03780965,0.22018495389068163,0.6548539
13.05483029,0.2042799480198631,0.6067643795
13.07189542,0.19618642715939977,0.5831474514999999
13.08900524,0.22633572467679364,0.671133661
13.1061599,0.19443797183439593,0.5778900579999999
13.12335958,0.18418637411619398,0.5480698715000001
13.14060447,0.22146937882319925,0.658373709
13.15789474,0.17673503893029688,0.52636688
13.17523057,0.16446923432217245,0.4900144985
13.19261214,0.19828803619974272,0.58924411
13.21003963,0.14928204429289507,0.44574616499999997
13.22751323,0.1263483498036734,0.378356832
13.24503311,0.1263780406504139,0.37849659999999996
13.26259947,0.09577769964964514,0.28710058
13.28021248,0.12042554220501056,0.36061772400000003
13.29787234,0.1426101975607689,0.426672768
13.31557923,0.13150364628888825,0.3933906975
13.33333333,0.1098816790845385,0.32906250000000004
13.35113485,0.14277475450000002,0.4266412605
13.36898396,0.09146274292583692,0.27415696
13.38688086,0.1043971974522122,0.3127640445
13.40482574,0.14280095877895302,0.42654168800000003
