PC,mean,std,skew,kurtosis,min,p01,p05,p25,median,p75,p95,p99,max,n,normaltest_stat,normaltest_p
PC1,6.40128590774865e-16,22.465016977902735,0.47576600250291146,-0.9046723430577481,-37.00389617141747,-32.87670152321179,-26.95877285126224,-20.34200609301528,-3.109646501434593,18.59697740993471,39.026256063506665,49.54373252899681,69.83818017342443,888,149.04239011753458,4.323706454725506e-33
PC2,1.9203857723245952e-16,3.3192541668181126,0.17835957437210356,0.9622782572610098,-11.154532182281976,-8.102874558560691,-5.635962174648991,-1.8197415246156086,-0.0958513638713592,1.5451733565312062,6.059766205418821,9.122940420762966,11.731738049255314,888,22.27785897626129,1.453531302655488e-05
PC3,-1.7803576430925934e-16,2.1681371420866387,0.20214989597137575,1.0025547551010145,-7.998951813149911,-5.198819700738454,-3.3652497584067818,-1.3641332716524044,-0.09685695396498381,1.2815849196872124,3.7425195237597406,5.465521121985246,9.156787353947935,888,24.615765566037158,4.5160050970236684e-06
