H_first21,PC1,PC2,PC3,PC4
0.066,-0.1602419450096874,-0.003311592653271624,0.14350420687930748,0.16719965392462358
0.1,-0.15968512178871572,-0.012065261673208002,0.15175700057803282,0.17506769659967103
0.2,-0.16018230921850243,-0.012231190576473138,0.14774950806512108,0.18024933238972957
0.3,-0.15994301861684943,-0.015429127031933616,0.1585051980307873,0.18768159824588657
0.4,-0.1590555310847052,-0.017158423684936794,0.1763935213894016,0.19856720171744882
0.5,-0.15899666659581732,-0.02929061141438485,0.19262265084296784,0.18729696402840568
0.6,-0.1576950327832947,-0.03871143323438183,0.20137020495735092,0.1741500656870869
0.7000000000000001,-0.15885986071015776,-0.05368551644826975,0.20060357539395482,0.13570115469412
0.8,-0.15815054209267318,-0.08010006260711822,0.20110061050255706,0.07911654234105979
0.9,-0.15623053875586082,-0.1030252642815893,0.21267922817860374,0.0077865299273423005
1.0,-0.15462454491617178,-0.11892989708398409,0.20894108337402675,-0.046796741269539074
1.1,-0.1514789660882087,-0.14033174736350645,0.2087256427346957,-0.135672322449887
1.2000000000000002,-0.1479230718073265,-0.16773494388673946,0.18917427690909852,-0.22704801980461412
1.3000000000000005,-0.14577338524661201,-0.1868695447297595,0.1572144746134588,-0.29472733304141496
1.4,-0.14366174051763936,-0.2234808906280923,0.09407842116042277,-0.27587670517128293
1.5000000000000002,-0.14121946866596938,-0.26017194909774766,0.0015832165835071106,-0.23198447011737944
1.6,-0.13880035055965076,-0.2744091718177957,-0.10362797214461132,-0.15728351162096615
1.7000000000000002,-0.13614422848413904,-0.2958337855183162,-0.19852103396616302,-0.03275367019934766
1.8000000000000005,-0.12980463814638055,-0.3108810406694831,-0.2951113921659346,0.12045781218574993
1.9,-0.1241103961975093,-0.3062488039999195,-0.3384487213559123,0.24896348841918747
2.0,-0.12071807981175514,-0.28685566648799404,-0.3478727294726156,0.3018668068109415
