file_index,PC1,PC2,PC3,PC4
1,10.717171662568305,2.2481662839715715,0.393660817407195,1.4862734886779205
2,11.514000413344421,3.0342622899071108,1.6687528194123633,1.7889246149479374
3,7.72455200794885,-2.0644600897798995,-0.9818326705980157,-1.438402591075373
4,1.2103563533781605,-1.9321595594143859,0.15064539067879051,0.4795831549870068
5,8.835767879491668,-0.3483210863165769,-1.2093755577114582,2.821949770705802
6,9.8795257210253,0.47512012848939,2.119773873737281,1.0233556637217247
7,7.370478184905693,-2.445894131401322,0.14399857557030787,-0.3201807615770468
8,11.541168795579681,5.079347055938688,2.6968043400771746,-0.08469348634607282
9,8.145709657916605,-0.18865603081209892,2.3129073192082803,-1.4811824926965387
10,7.959018368476978,1.924008173111774,2.2331278058453163,-0.12751692803466463
11,9.210277133790006,-0.49878823808419015,1.7442705608730706,1.1787438288404601
12,9.241120768686798,-0.8636490815241658,-0.26776854557890606,-0.37808965884575685
13,9.486192832303205,-0.36776641848577374,-0.8606258951062322,1.319627317725232
14,6.4756713961340635,-2.886799255797606,-0.6491137031794133,-0.2821002854028116
15,13.088896891618333,5.416248034879491,-2.220923757167335,-0.04603652419049663
16,3.9049836516867082,-2.5693832732893007,1.4662055254304043,0.19528197072709194
17,4.846533467915503,-1.42928886954847,-0.08376269790546452,0.987201002045741
18,5.584883168370735,-2.055260033364047,0.7371115256366795,0.954847580090807
19,7.424310667302735,-3.0245403944028113,1.0655183755966413,0.9567561973290267
20,7.113568819497353,-3.5988169588518835,0.678940463976343,0.04485013642492778
21,11.34502939841259,-2.5713383980791287,-1.4090788358300854,-1.66858631963665
22,10.283714116454949,-3.2389553643458364,1.2511796419866374,0.6882629120358508
23,8.91281106675158,-2.862010506778866,-0.04210720633289024,0.8304768422490146
24,-1.7327565296832073,1.0237653018635524,0.183167608373557,2.136513719390327
25,-0.05125519670811496,2.9656636584778266,1.4257211031315404,1.6573195148594306
26,-0.8943616655886555,4.26685428635298,2.254996680995855,0.14718413196088603
27,-2.5771730104130963,2.070039525923252,1.374858201863357,-0.5668144483404514
28,3.5567633807689725,-2.426499300518744,0.5805115582334369,-0.30433424851437174
29,3.071329776005724,-1.0595935204244358,-1.1343375185561182,-1.1848783491229058
30,6.237139032545016,1.5152248201958123,-1.3310478224732756,-1.5967488909993217
31,9.705049557176288,10.494898071996976,-1.8819956688890773,2.7467328510589297
32,1.1465465670106896,2.687004768849963,1.9826904480225749,-0.3532981996393673
33,-1.0834973869888462,-1.6633126460803298,-0.11573397211084152,-0.33585442125888465
34,-0.6020740075496526,-1.6162503114663493,0.0704386378044083,0.201556562356513
35,-1.4512894135303103,-1.0321946209241704,0.3871093592924447,0.5616309562976766
36,-3.5125204295383763,-0.44589018585266826,-0.21158235353762334,0.18403340794533868
37,-5.231867587835853,-0.054493810761641955,0.5648768053847628,0.17561969093389695
38,-5.160904723603411,-0.5246108416500735,0.3515046817462495,-0.06821352792370461
39,-6.135513841236496,0.05386458915289495,0.18306820835957946,0.3718618995565881
40,-5.83478903825924,0.3152845487223579,0.015256673880661539,0.6518028501050178
41,-5.58877210445835,-0.4794523625650891,0.10409869474532307,0.09892379234399486
42,-5.320219115256947,0.5168734677186424,-0.129487985331309,0.22001391810605248
43,-5.582307576371866,0.7459931007466514,-0.00841203833277925,0.2936794565122021
44,-6.272677607181804,0.4688954379101836,-0.31194013270509396,-0.06325678546710332
45,-6.437674998377227,1.1269446924708304,-0.6042814153851728,-0.12174481723002326
46,-5.847508920155466,0.15974589170622044,0.1316723785212673,0.12931497987424456
47,-5.738915064633108,0.12712619009459353,0.22576077427712937,0.19302433980723807
48,-6.0681706544432705,-0.12176759788449824,0.2195559363617048,-0.027640601587955293
49,-6.101688681173883,0.5439220361435931,0.17959110172329565,0.49448327854479956
50,-6.635663333863008,1.0944643562996208,-0.3396273703177158,0.13379749556711773
51,-6.864298451560149,0.9768208008664094,0.3827268252574005,0.36136623829428155
52,-5.751345155200038,1.2283031625559795,-0.2675664187619862,0.18758231329781952
53,-5.97643788387104,-0.7326178481318074,-0.059825911690235316,-0.06929091314619808
54,-6.6566404133078585,-0.12686334506240823,-0.7470558381918004,-1.0024036032787909
55,-6.665894952955176,0.5405430689166436,-0.49286514127068004,0.09235950197092542
56,-3.1830767505000597,2.204232851884999,-0.8704132287070404,1.3631049015236234
57,-4.315679931049625,-0.1357827195061684,-0.06339363772929553,-0.22915124604836326
58,-4.7007691573919,0.4444369726436899,-0.10921512328274148,-0.0369177361464568
59,-5.163288413791346,-0.3102775048404918,-0.3303375877875943,-0.4221754951810977
