H_first21,PC1,PC2,PC3,PC4
0.066,-0.1598903420122557,0.0997462404947417,-0.07079116703759998,-0.11959018710931164
0.1,-0.15916540733166018,0.11175378352508232,-0.08781643034251152,-0.14268311672067788
0.2,-0.15932486802232437,0.11351638872877445,-0.09319073993655863,-0.1494955665002234
0.3,-0.15972272713515323,0.11191045976297792,-0.09367697502445105,-0.15242626295786166
0.4,-0.16015688700945777,0.10839794971679659,-0.09743748658779783,-0.15661065561670867
0.5,-0.16051587983051452,0.10608108297516422,-0.09852006999602542,-0.154704470454265
0.6,-0.16043646108939805,0.10627242985811108,-0.10378446346071246,-0.15116753175838893
0.7000000000000001,-0.16055772002554075,0.10759814701032734,-0.09786410755246364,-0.1338268061359331
0.8,-0.16064310349085575,0.10951426706900454,-0.09748685889531815,-0.1118329591410217
0.9,-0.16099184373618813,0.10988073256091836,-0.09603591917507745,-0.08386400167704836
1.0,-0.16138540966858894,0.10723937262162399,-0.0910688616391017,-0.06000005696909856
1.1,-0.16160620524913294,0.10592798593478298,-0.09299696386918732,-0.022692591007687883
1.2000000000000002,-0.1613906598604093,0.11090284953040858,-0.0969237204712943,0.02455245802550728
1.3000000000000005,-0.1607003647602693,0.11590547452334238,-0.10369888086555246,0.067146539260547
1.4,-0.15988303899907963,0.12401031031332897,-0.09893646143367507,0.0984442655668062
1.5000000000000002,-0.15888841684482272,0.1356206989741945,-0.0779038843579062,0.12110035996401068
1.6,-0.15789077056621129,0.1437785897309197,-0.05351670997426408,0.12780269860791363
1.7000000000000002,-0.1571505659085419,0.15200196589655177,-0.025343159289518514,0.11197252247338275
1.8000000000000005,-0.15572414447252003,0.16281546652829632,-0.0005956263763446242,0.0821264997070132
1.9,-0.1541382500718967,0.16830011061804623,0.009425591970595292,0.05179598412486138
2.0,-0.1528333529976583,0.16793066535164053,0.01884899836830667,0.02930523088224563
