,explained_variance_ratio
PC1,0.8552251772256023
PC2,0.0660218083826352
PC3,0.02376312308241
PC4,0.0174333689461723
PC5,0.0097685434674214
PC6,0.0078363707205555
PC7,0.0043983167939564
PC8,0.0032986206578013
PC9,0.0023262182867115
