PC,recommended_rule,recommended_bins,delta_c
PC1,FD,13,2.0548891094735113
PC2,FD,42,0.3355646435916395
PC3,FD,50,0.1895168733757797
PC4,FD,61,0.13850746975452616
PC5,FD,51,0.13141672772339802
PC6,FD,48,0.11191672913085553
PC7,FD,60,0.08305435636016631
PC8,FD,40,0.08135561190424663
PC9,FD,55,0.06685795609143612
