lambda_um,PC1_plus,PC2_plus,PC3_plus,PC4_plus,PC5_plus,PC6_plus,PC7_plus,PC8_plus,PC9_plus,PC1_minus,PC2_minus,PC3_minus,PC4_minus,PC5_minus,PC6_minus,PC7_minus,PC8_minus,PC9_minus
2.511931675,0.000619354,-5.82E-05,2.28E-05,2.82E-05,2.19E-05,3.17E-05,-1.81E-05,2.14E-05,-4.91E-06,-0.000560873,5.90E-05,-2.25E-05,-2.79E-05,-2.17E-05,-3.14E-05,1.82E-05,-2.11E-05,5.07E-06
2.512562814,0.000618568,-5.96E-05,2.38E-05,2.93E-05,2.17E-05,3.33E-05,-1.98E-05,2.31E-05,-5.07E-06,-0.000560275,6.02E-05,-2.36E-05,-2.90E-05,-2.15E-05,-3.29E-05,2.00E-05,-2.30E-05,5.23E-06
2.51319427,0.000628231,-5.62E-05,2.09E-05,2.64E-05,2.23E-05,2.93E-05,-1.54E-05,1.87E-05,-4.91E-06,-0.000568226,5.67E-05,-2.09E-05,-2.64E-05,-2.23E-05,-2.91E-05,1.54E-05,-1.85E-05,4.91E-06
2.513826043,0.000647063,-4.51E-05,1.36E-05,1.95E-05,2.17E-05,2.07E-05,-7.28E-06,1.03E-05,-3.80E-06,-0.000583607,4.51E-05,-1.38E-05,-1.96E-05,-2.17E-05,-2.07E-05,7.12E-06,-1.03E-05,3.80E-06
2.514458134,0.000632187,-5.69E-05,2.14E-05,2.69E-05,2.25E-05,2.99E-05,-1.58E-05,1.93E-05,-5.06E-06,-0.0005724,5.74E-05,-2.14E-05,-2.67E-05,-2.23E-05,-2.97E-05,1.60E-05,-1.91E-05,5.06E-06
2.515090543,0.000612424,-6.24E-05,2.62E-05,3.19E-05,2.02E-05,3.76E-05,-2.56E-05,2.88E-05,-5.37E-06,-0.000554723,6.29E-05,-2.62E-05,-3.18E-05,-2.04E-05,-3.75E-05,2.55E-05,-2.86E-05,5.37E-06
2.51572327,0.000614486,-6.26E-05,2.64E-05,3.21E-05,2.04E-05,3.78E-05,-2.56E-05,2.88E-05,-5.37E-06,-0.00055634,6.32E-05,-2.64E-05,-3.19E-05,-2.04E-05,-3.74E-05,2.56E-05,-2.86E-05,5.37E-06
2.516356316,0.000615125,-6.27E-05,2.65E-05,3.22E-05,2.04E-05,3.79E-05,-2.57E-05,2.91E-05,-5.37E-06,-0.000556376,6.35E-05,-2.64E-05,-3.19E-05,-2.04E-05,-3.76E-05,2.59E-05,-2.89E-05,5.37E-06
2.51698968,0.000620971,-6.30E-05,2.64E-05,3.20E-05,2.08E-05,3.76E-05,-2.53E-05,2.83E-05,-5.37E-06,-0.000562252,6.36E-05,-2.64E-05,-3.20E-05,-2.08E-05,-3.74E-05,2.51E-05,-2.83E-05,5.21E-06
2.517623364,0.000618765,-6.29E-05,2.68E-05,3.25E-05,2.05E-05,3.83E-05,-2.60E-05,2.95E-05,-5.36E-06,-0.00055976,6.39E-05,-2.65E-05,-3.22E-05,-2.04E-05,-3.80E-05,2.63E-05,-2.92E-05,5.52E-06
