H,T_rep,T_plus,T_minus,delta_c,w_i,delta_theoretical_plus,delta_theoretical_minus,delta_effective_plus,delta_effective_minus
0.066,296.54999999999995,294.7466404327195,298.3533595672804,7.631576881774421,-0.2363023520849516,-1.8033595672804363,1.8033595672804363,-1.8033595672804363,1.8033595672804363
0.1,297.15,295.37873516806667,298.9212648319333,7.631576881774421,-0.2320968339011863,-1.771264831933331,1.771264831933331,-1.771264831933331,1.771264831933331
0.2,296.29166666666663,294.51463328607474,298.0687000472585,7.631576881774421,-0.2328527128955171,-1.777033380591885,1.777033380591885,-1.777033380591885,1.777033380591885
0.3,295.38,293.5998930271379,297.1601069728621,7.631576881774421,-0.2332554595778612,-1.7801069728620735,1.7801069728620735,-1.7801069728620735,1.7801069728620735
0.4,294.52,292.74566474929827,296.2943352507017,7.631576881774421,-0.232499164745247,-1.7743352507016896,1.7743352507016896,-1.7743352507016896,1.7743352507016896
0.5,293.54999999999995,291.78987433356366,295.31012566643625,7.631576881774421,-0.2306372187168513,-1.7601256664362732,1.7601256664362732,-1.7601256664362732,1.7601256664362732
0.6,293.5045454545454,291.7477037907799,295.2613871183109,7.631576881774421,-0.230206901009036,-1.756841663765492,1.756841663765492,-1.756841663765492,1.756841663765492
0.7000000000000001,293.51,291.75632894855795,295.26367105144203,7.631576881774421,-0.2297914413507572,-1.7536710514420613,1.7536710514420613,-1.7536710514420613,1.7536710514420613
0.8,293.16,291.4085088285416,294.91149117145847,7.631576881774421,-0.2295058018273138,-1.7514911714584298,1.7514911714584298,-1.7514911714584298,1.7514911714584298
0.9,292.75,290.99698262325757,294.50301737674243,7.631576881774421,-0.2297057874014172,-1.7530173767424457,1.7530173767424457,-1.7530173767424457,1.7530173767424457
1.0,292.15,290.40066285213334,293.8993371478666,7.631576881774421,-0.2292235503837192,-1.7493371478666457,1.7493371478666457,-1.7493371478666457,1.7493371478666457
1.1,291.69545454545454,289.96820806230915,293.42270102859993,7.631576881774421,-0.2263289107747,-1.7272464831453862,1.7272464831453862,-1.7272464831453862,1.7272464831453862
1.2000000000000002,291.18333333333334,289.49054024858043,292.87612641808624,7.631576881774421,-0.2218143263151283,-1.6927930847529007,1.6927930847529007,-1.6927930847529007,1.6927930847529007
1.3000000000000005,290.75,289.10316801495844,292.39683198504156,7.631576881774421,-0.2157918357573617,-1.6468319850415445,1.6468319850415445,-1.6468319850415445,1.6468319850415445
1.4,290.25,288.6517729710153,291.8482270289847,7.631576881774421,-0.2094229087571094,-1.59822702898471,1.59822702898471,-1.59822702898471,1.59822702898471
1.5000000000000002,289.95,288.39504294941503,291.50495705058495,7.631576881774421,-0.2037530479838976,-1.5549570505849872,1.5549570505849872,-1.5549570505849872,1.5549570505849872
1.6,289.38,287.865362364995,290.894637635005,7.631576881774421,-0.1984698127882629,-1.5146376350050046,1.5146376350050046,-1.5146376350050046,1.5146376350050046
1.7000000000000002,288.75,287.27492226046115,290.22507773953885,7.631576881774421,-0.1932861009448253,-1.475077739538846,1.475077739538846,-1.475077739538846,1.475077739538846
1.8000000000000005,288.15,286.709765721042,289.59023427895795,7.631576881774421,-0.1887204048743233,-1.4402342789579945,1.4402342789579945,-1.4402342789579945,1.4402342789579945
1.9,287.3136363636363,285.9089569310815,288.7183157961911,7.631576881774421,-0.1840614927053184,-1.4046794325547993,1.4046794325547993,-1.4046794325547993,1.4046794325547993
2.0,286.95,285.5843016879968,288.3156983120032,7.631576881774421,-0.1789536203539715,-1.3656983120032054,1.3656983120032054,-1.3656983120032054,1.3656983120032054
